acao,pessoa1,tratamento,rodada,jogo
tratamento,AgCD2|PrefeitoCD,Agua,1,5
tratamento,AgCD2|PrefeitoCD,Lixo,1,5
tratamento,AgCD2|PrefeitoCD,Esgoto,1,5
tratamento,EmpMaq|PrefeitoAT,Agua,1,5
tratamento,EmpMaq|PrefeitoAT,Lixo,1,5
tratamento,EmpMaq|PrefeitoAT,Esgoto,2,5
tratamento,AgCD2|PrefeitoCD,Lixo,2,5
tratamento,AgCD2|PrefeitoCD,Esgoto,2,5
tratamento,AgCD2|PrefeitoCD,Esgoto,3,5
tratamento,EmpMaq|PrefeitoAT,Agua,4,5
tratamento,EmpMaq|PrefeitoAT,Lixo,4,5
tratamento,EmpMaq|PrefeitoAT,Esgoto,4,5
tratamento,AgCD2|PrefeitoCD,Lixo,4,5
tratamento,AgAT2|PrefeitoAT,Esgoto,1,6
tratamento,AgCD3|PrefeitoCD,Agua,1,6
tratamento,AgAT2|PrefeitoAT,Lixo,2,6
tratamento,AgAT2|PrefeitoAT,Esgoto,2,6
tratamento,AgAT2|PrefeitoAT,Agua,3,6
tratamento,AgAT2|PrefeitoAT,Lixo,3,6
tratamento,AgAT2|PrefeitoAT,Esgoto,3,6
tratamento,AgCD3|PrefeitoCD,Lixo,3,6
tratamento,AgCD3|PrefeitoCD,Esgoto,3,6
tratamento,AgCD3|PrefeitoCD,Agua,4,6
tratamento,AgCD3|PrefeitoCD,Esgoto,4,6
tratamento,AgAT2|PrefeitoAT,Agua,4,6
