acao,pessoa1,pessoa2,valor,rodada,jogo
imposto,EmpMaq|PrefeitoAT,EmpSem|FiscalAT,292.5,1,5
imposto,AgCD2|PrefeitoCD,EmpFert,637.5,1,5
imposto,EmpMaq|PrefeitoAT,EmpMaq|PrefeitoAT,213.0,1,5
imposto,AgCD2|PrefeitoCD,EmpAgro,124.5,1,5
imposto,EmpMaq|PrefeitoAT,AgAT1,1620.0,1,5
imposto,AgCD2|PrefeitoCD,AgCD1|VereadorCD,282.0,1,5
imposto,EmpMaq|PrefeitoAT,AgAT2|VereadorAT,1620.0,1,5
imposto,AgCD2|PrefeitoCD,AgCD2|PrefeitoCD,468.0,1,5
imposto,EmpMaq|PrefeitoAT,AgAT3,54.0,1,5
imposto,AgCD2|PrefeitoCD,AgCD3|FiscalCD,720.0,1,5
imposto,EmpMaq|PrefeitoAT,EmpSem|FiscalAT,318.5,2,5
imposto,AgCD2|PrefeitoCD,EmpFert,986.99,2,5
imposto,EmpMaq|PrefeitoAT,EmpMaq|PrefeitoAT,358.75,2,5
imposto,AgCD2|PrefeitoCD,EmpAgro,16.0,2,5
imposto,EmpMaq|PrefeitoAT,AgAT1,84.0,2,5
imposto,AgCD2|PrefeitoCD,AgCD1|VereadorCD,283.5,2,5
imposto,EmpMaq|PrefeitoAT,AgAT2|VereadorAT,503.99,2,5
imposto,AgCD2|PrefeitoCD,AgCD2|PrefeitoCD,616.0,2,5
imposto,EmpMaq|PrefeitoAT,AgAT3,59.85,2,5
imposto,AgCD2|PrefeitoCD,AgCD3|FiscalCD,2394.0,2,5
imposto,EmpMaq|PrefeitoAT,EmpSem|FiscalAT,264.0,3,5
imposto,AgCD2|PrefeitoCD,EmpFert,1037.75,3,5
imposto,EmpMaq|PrefeitoAT,EmpMaq|PrefeitoAT,438.0,3,5
imposto,AgCD2|PrefeitoCD,EmpAgro,1.5,3,5
imposto,EmpMaq|PrefeitoAT,AgAT1,66.7,3,5
imposto,AgCD2|PrefeitoCD,AgCD1|FiscalCD,532.0,3,5
imposto,EmpMaq|PrefeitoAT,AgAT2|VereadorAT,313.2,3,5
imposto,AgCD2|PrefeitoCD,AgCD2|PrefeitoCD,672.0,3,5
imposto,EmpMaq|PrefeitoAT,AgAT3,52.2,3,5
imposto,AgCD2|PrefeitoCD,AgCD3|VereadorCD,798.0,3,5
imposto,EmpMaq|PrefeitoAT,EmpSem|FiscalAT,201.0,4,5
imposto,AgCD2|PrefeitoCD,EmpFert,857.5,4,5
imposto,EmpMaq|PrefeitoAT,EmpMaq|PrefeitoAT,121.5,4,5
imposto,AgCD2|PrefeitoCD,EmpAgro,10.5,4,5
imposto,EmpMaq|PrefeitoAT,AgAT1,68.39,4,5
imposto,AgCD2|PrefeitoCD,AgCD1|FiscalCD,79.8,4,5
imposto,EmpMaq|PrefeitoAT,AgAT2|VereadorAT,615.6,4,5
imposto,AgCD2|PrefeitoCD,AgCD2|PrefeitoCD,378.0,4,5
imposto,EmpMaq|PrefeitoAT,AgAT3,51.3,4,5
imposto,AgCD2|PrefeitoCD,AgCD3|VereadorCD,1197.0,4,5
imposto,AgAT2|PrefeitoAT,EmpSem|FiscalAT,195.0,1,6
imposto,AgCD3|PrefeitoCD,EmpFert|FiscalCD,661.5,1,6
imposto,AgAT2|PrefeitoAT,EmpMaq,432.0,1,6
imposto,AgCD3|PrefeitoCD,EmpAgro,18.0,1,6
imposto,AgAT2|PrefeitoAT,AgAT1|VereadorAT,324.0,1,6
imposto,AgCD3|PrefeitoCD,AgCD1|VereadorCD,360.0,1,6
imposto,AgAT2|PrefeitoAT,AgAT2|PrefeitoAT,720.0,1,6
imposto,AgCD3|PrefeitoCD,AgCD2,12.0,1,6
imposto,AgAT2|PrefeitoAT,AgAT3,2160.0,1,6
imposto,AgCD3|PrefeitoCD,AgCD3|PrefeitoCD,324.0,1,6
imposto,AgAT2|PrefeitoAT,EmpSem|FiscalAT,181.25,2,6
imposto,AgCD3|PrefeitoCD,EmpFert|FiscalCD,738.0,2,6
imposto,AgAT2|PrefeitoAT,EmpMaq,316.25,2,6
imposto,AgCD3|PrefeitoCD,EmpAgro,147.0,2,6
imposto,AgAT2|PrefeitoAT,AgAT1|VereadorAT,99.75,2,6
imposto,AgCD3|PrefeitoCD,AgCD1|VereadorCD,376.2,2,6
imposto,AgAT2|PrefeitoAT,AgAT2|PrefeitoAT,912.0,2,6
imposto,AgCD3|PrefeitoCD,AgCD2,581.4,2,6
imposto,AgAT2|PrefeitoAT,AgAT3,1800.0,2,6
imposto,AgCD3|PrefeitoCD,AgCD3|PrefeitoCD,1710.0,2,6
imposto,AgAT2|PrefeitoAT,EmpSem|FiscalAT,213.0,3,6
imposto,AgCD3|PrefeitoCD,EmpFert|FiscalCD,731.25,3,6
imposto,AgAT2|PrefeitoAT,EmpMaq,595.5,3,6
imposto,AgCD3|PrefeitoCD,EmpAgro,17.5,3,6
imposto,AgAT2|PrefeitoAT,AgAT1|VereadorAT,205.2,3,6
imposto,AgCD3|PrefeitoCD,AgCD1|VereadorCD,570.0,3,6
imposto,AgAT2|PrefeitoAT,AgAT2|PrefeitoAT,702.0,3,6
imposto,AgCD3|PrefeitoCD,AgCD2,300.0,3,6
imposto,AgAT2|PrefeitoAT,AgAT3,720.0,3,6
imposto,AgCD3|PrefeitoCD,AgCD3|PrefeitoCD,1800.0,3,6
imposto,AgAT2|PrefeitoAT,EmpSem|FiscalAT,117.5,4,6
imposto,AgCD3|PrefeitoCD,EmpFert|FiscalCD,1134.0,4,6
imposto,AgAT2|PrefeitoAT,EmpMaq,667.5,4,6
imposto,AgCD3|PrefeitoCD,EmpAgro,10.0,4,6
imposto,AgAT2|PrefeitoAT,AgAT1|VereadorAT,570.0,4,6
imposto,AgCD3|PrefeitoCD,AgCD1|VereadorCD,798.0,4,6
imposto,AgAT2|PrefeitoAT,AgAT2|PrefeitoAT,570.0,4,6
imposto,AgCD3|PrefeitoCD,AgCD2,84.0,4,6
imposto,AgAT2|PrefeitoAT,AgAT3,570.0,4,6
imposto,AgCD3|PrefeitoCD,AgCD3|PrefeitoCD,503.99,4,6
