acao,pessoa1,prox_taxa,val_taxa,rodada,jogo
troca taxa,AgCD2|PrefeitoCD,1,5.0,1,5
troca taxa,AgCD2|PrefeitoCD,3,35.0%,1,5
troca taxa,EmpMaq|PrefeitoAT,3,35.0%,1,5
troca taxa,EmpMaq|PrefeitoAT,1,5.0,2,5
troca taxa,EmpMaq|PrefeitoAT,2,5.0%,2,5
troca taxa,EmpMaq|PrefeitoAT,3,30.0%,2,5
troca taxa,AgAT2|PrefeitoAT,3,25.0%,1,6
troca taxa,AgCD3|PrefeitoCD,3,25.0%,2,6
troca taxa,AgAT2|PrefeitoAT,3,30.0%,2,6
troca taxa,AgCD3|PrefeitoCD,2,15.0%,3,6
troca taxa,AgCD3|PrefeitoCD,3,35.0%,3,6
troca taxa,AgAT2|PrefeitoAT,3,25.0%,3,6
troca taxa,AgCD3|PrefeitoCD,2,10.0%,4,6
troca taxa,AgCD3|PrefeitoCD,3,30.0%,4,6
