acao,pessoa1,pessoa2,parcela,objeto,tipo_preco,rodada,jogo
venda/aluguel,EmpSem|FiscalAT,AgAT2|VereadorAT,1,Soja,normal,1,5
venda/aluguel,EmpFert,AgAT2|VereadorAT,1,Premium,normal,1,5
venda/aluguel,EmpAgr,AgAT2|VereadorAT,1,Super premium,normal,1,5
venda/aluguel,EmpSem|FiscalAT,AgAT2|VereadorAT,2,Soja,normal,1,5
venda/aluguel,EmpFert,AgAT2|VereadorAT,2,Premium,normal,1,5
venda/aluguel,EmpAgr,AgAT2|VereadorAT,2,Super premium,normal,1,5
venda/aluguel,EmpSem|FiscalAT,AgAT2|VereadorAT,3,Soja,normal,1,5
venda/aluguel,EmpFert,AgAT2|VereadorAT,3,Premium,normal,1,5
venda/aluguel,EmpAgr,AgAT2|VereadorAT,3,Super premium,normal,1,5
venda/aluguel,EmpSem|FiscalAT,AgAT2|VereadorAT,4,Soja,normal,1,5
venda/aluguel,EmpFert,AgAT2|VereadorAT,4,Premium,normal,1,5
venda/aluguel,EmpAgr,AgAT2|VereadorAT,4,Super premium,normal,1,5
venda/aluguel,EmpSem|FiscalAT|FiscalAT,AgAT2|VereadorAT,5,Soja,normal,1,5
venda/aluguel,EmpFert,AgAT2|VereadorAT,5,Premium,normal,1,5
venda/aluguel,EmpAgr,AgAT2|VereadorAT,5,Super premium,normal,1,5
venda/aluguel,EmpSem|FiscalAT,AgAT2|VereadorAT,6,Soja,normal,1,5
venda/aluguel,EmpFert,AgAT2|VereadorAT,6,Premium,normal,1,5
venda/aluguel,EmpAgr,AgAT2|VereadorAT,6,Super premium,normal,1,5
venda/aluguel,EmpSem|FiscalAT,AgCD3|FiscalCD,1,Soja,baixo,1,5
venda/aluguel,EmpFert,AgCD3|FiscalCD,1,Super premium,baixo,1,5
venda/aluguel,EmpMaq|PrefeitoAT,AgCD3|FiscalCD,1,Maquinas 3,baixo,1,5
venda/aluguel,EmpSem|FiscalAT,AgCD3|FiscalCD,2,Soja,baixo,1,5
venda/aluguel,EmpFert,AgCD3|FiscalCD,2,Super premium,baixo,1,5
venda/aluguel,EmpMaq|PrefeitoAT,AgCD3|FiscalCD,2,Maquinas 3,baixo,1,5
venda/aluguel,EmpSem|FiscalAT,AgCD3|FiscalCD,3,Soja,baixo,1,5
venda/aluguel,EmpFert,AgCD3|FiscalCD,3,Super premium,baixo,1,5
venda/aluguel,EmpMaq|PrefeitoAT,AgCD3|FiscalCD,3,Maquinas 3,baixo,1,5
venda/aluguel,EmpSem|FiscalAT,AgCD3|FiscalCD,4,Soja,normal,1,5
venda/aluguel,EmpFert,AgCD3|FiscalCD,4,Super premium,baixo,1,5
venda/aluguel,EmpMaq|PrefeitoAT,AgCD3|FiscalCD,4,Maquinas 3,baixo,1,5
venda/aluguel,EmpSem|FiscalAT,AgCD3|FiscalCD,5,Soja,normal,1,5
venda/aluguel,EmpFert,AgCD3|FiscalCD,5,Super premium,baixo,1,5
venda/aluguel,EmpMaq|PrefeitoAT,AgCD3|FiscalCD,5,Maquinas 3,baixo,1,5
venda/aluguel,EmpSem|FiscalAT,AgCD3|FiscalCD,6,Soja,normal,1,5
venda/aluguel,EmpFert,AgCD3|FiscalCD,6,Super premium,baixo,1,5
venda/aluguel,EmpMaq|PrefeitoAT,AgCD3|FiscalCD,6,Maquinas 3,baixo,1,5
venda/aluguel,EmpSem|FiscalAT,AgCD1|VereadorCD,1,Arroz,alto,1,5
venda/aluguel,EmpFert,AgCD1|VereadorCD,1,Comum,baixo,1,5
venda/aluguel,EmpSem|FiscalAT,AgCD1|VereadorCD,2,Arroz,alto,1,5
venda/aluguel,EmpFert,AgCD1|VereadorCD,2,Comum,baixo,1,5
venda/aluguel,EmpSem|FiscalAT,AgCD1|VereadorCD,3,Soja,normal,1,5
venda/aluguel,EmpFert,AgCD1|VereadorCD,3,Super premium,baixo,1,5
venda/aluguel,EmpMaq|PrefeitoAT,AgCD1|VereadorCD,3,Maquinas 3,normal,1,5
venda/aluguel,EmpSem|FiscalAT,AgCD1|VereadorCD,4,Soja,normal,1,5
venda/aluguel,EmpFert,AgCD1|VereadorCD,4,Super premium,normal,1,5
venda/aluguel,EmpMaq|PrefeitoAT,AgCD1|VereadorCD,4,Maquinas 2,baixo,1,5
venda/aluguel,EmpSem|FiscalAT,AgCD1|VereadorCD,5,Soja,normal,1,5
venda/aluguel,EmpFert,AgCD1|VereadorCD,5,Super premium,baixo,1,5
venda/aluguel,EmpMaq|PrefeitoAT,AgCD1|VereadorCD,5,Maquinas 2,baixo,1,5
venda/aluguel,EmpSem|FiscalAT,AgCD1|VereadorCD,6,Soja,normal,1,5
venda/aluguel,EmpFert,AgCD1|VereadorCD,6,Comum,baixo,1,5
venda/aluguel,EmpSem|FiscalAT,AgCD2|PrefeitoCD,1,Arroz,normal,1,5
venda/aluguel,EmpFert,AgCD2|PrefeitoCD,1,Comum,baixo,1,5
venda/aluguel,EmpAgr,AgCD2|PrefeitoCD,1,Comum,normal,1,5
venda/aluguel,EmpSem|FiscalAT,AgCD2|PrefeitoCD,2,Arroz,normal,1,5
venda/aluguel,EmpFert,AgCD2|PrefeitoCD,2,Comum,baixo,1,5
venda/aluguel,EmpAgr,AgCD2|PrefeitoCD,2,Comum,normal,1,5
venda/aluguel,EmpSem|FiscalAT,AgCD2|PrefeitoCD,3,Arroz,normal,1,5
venda/aluguel,EmpFert,AgCD2|PrefeitoCD,3,Comum,baixo,1,5
venda/aluguel,EmpAgr,AgCD2|PrefeitoCD,3,Comum,normal,1,5
venda/aluguel,EmpSem|FiscalAT,AgCD2|PrefeitoCD,4,Arroz,normal,1,5
venda/aluguel,EmpFert,AgCD2|PrefeitoCD,4,Comum,baixo,1,5
venda/aluguel,EmpAgr,AgCD2|PrefeitoCD,4,Comum,normal,1,5
venda/aluguel,EmpSem|FiscalAT,AgCD2|PrefeitoCD,5,Soja,baixo,1,5
venda/aluguel,EmpFert,AgCD2|PrefeitoCD,5,Premium,normal,1,5
venda/aluguel,EmpAgr,AgCD2|PrefeitoCD,5,Premium,baixo,1,5
venda/aluguel,EmpSem|FiscalAT,AgCD2|PrefeitoCD,6,Soja,baixo,1,5
venda/aluguel,EmpFert,AgCD2|PrefeitoCD,6,Premium,normal,1,5
venda/aluguel,EmpAgr,AgCD2|PrefeitoCD,6,Premium,baixo,1,5
venda/aluguel,EmpSem|FiscalAT,AT3,1,Arroz,alto,1,5
venda/aluguel,EmpFert,AT3,1,Premium,baixo,1,5
venda/aluguel,EmpSem|FiscalAT,AT3,2,Arroz,alto,1,5
venda/aluguel,EmpFert,AT3,2,Premium,baixo,1,5
venda/aluguel,EmpSem|FiscalAT,AT3,3,Soja,normal,1,5
venda/aluguel,EmpFert,AT3,3,Premium,normal,1,5
venda/aluguel,EmpSem|FiscalAT,AT3,4,Soja,normal,1,5
venda/aluguel,EmpFert,AT3,4,Premium,normal,1,5
venda/aluguel,EmpSem|FiscalAT,AT3,5,Soja,normal,1,5
venda/aluguel,EmpFert,AT3,5,Premium,normal,1,5
