acao,pessoa1,pessoa2,valor,rodada,jogo
imposto,EmpMaq|PrefeitoAT,EmpSem|FiscalAT,292.5,1,5
imposto,AgCD2|PrefeitoCD,EmpFert,637.5,1,5
imposto,EmpMaq|PrefeitoAT,EmpMaq|PrefeitoAT,213.0,1,5
imposto,AgCD2|PrefeitoCD,EmpAgro,124.5,1,5
imposto,EmpMaq|PrefeitoAT,AgAT1,1620.0,1,5
imposto,AgCD2|PrefeitoCD,AgCD1|VereadorCD,282.0,1,5
imposto,EmpMaq|PrefeitoAT,AgAT2|VereadorAT,1620.0,1,5
imposto,AgCD2|PrefeitoCD,AgCD2|PrefeitoCD,468.0,1,5
imposto,EmpMaq|PrefeitoAT,AgAT3,54.0,1,5
imposto,AgCD2|PrefeitoCD,AgCD3|FiscalCD,720.0,1,5
imposto,EmpMaq|PrefeitoAT,EmpSem|FiscalAT,318.5,2,5
imposto,AgCD2|PrefeitoCD,EmpFert,986.99,2,5
imposto,EmpMaq|PrefeitoAT,EmpMaq|PrefeitoAT,358.75,2,5
imposto,AgCD2|PrefeitoCD,EmpAgro,16.0,2,5
imposto,EmpMaq|PrefeitoAT,AgAT1,84.0,2,5
imposto,AgCD2|PrefeitoCD,AgCD1|VereadorCD,283.5,2,5
imposto,EmpMaq|PrefeitoAT,AgAT2|VereadorAT,503.99,2,5
imposto,AgCD2|PrefeitoCD,AgCD2|PrefeitoCD,616.0,2,5
imposto,EmpMaq|PrefeitoAT,AgAT3,59.85,2,5
imposto,AgCD2|PrefeitoCD,AgCD3|FiscalCD,2394.0,2,5
imposto,EmpMaq|PrefeitoAT,EmpSem|FiscalAT,264.0,3,5
imposto,AgCD2|PrefeitoCD,EmpFert,1037.75,3,5
imposto,EmpMaq|PrefeitoAT,EmpMaq|PrefeitoAT,438.0,3,5
imposto,AgCD2|PrefeitoCD,EmpAgro,1.5,3,5
imposto,EmpMaq|PrefeitoAT,AgAT1,66.7,3,5
imposto,AgCD2|PrefeitoCD,AgCD1|FiscalCD,532.0,3,5
imposto,EmpMaq|PrefeitoAT,AgAT2|VereadorAT,313.2,3,5
imposto,AgCD2|PrefeitoCD,AgCD2|PrefeitoCD,672.0,3,5
imposto,EmpMaq|PrefeitoAT,AgAT3,52.2,3,5
imposto,AgCD2|PrefeitoCD,AgCD3|VereadorCD,798.0,3,5
imposto,EmpMaq|PrefeitoAT,EmpSem|FiscalAT,201.0,4,5
imposto,AgCD2|PrefeitoCD,EmpFert,857.5,4,5
imposto,EmpMaq|PrefeitoAT,EmpMaq|PrefeitoAT,121.5,4,5
imposto,AgCD2|PrefeitoCD,EmpAgro,10.5,4,5
imposto,EmpMaq|PrefeitoAT,AgAT1,68.39,4,5
imposto,AgCD2|PrefeitoCD,AgCD1|FiscalCD,79.8,4,5
imposto,EmpMaq|PrefeitoAT,AgAT2|VereadorAT,615.6,4,5
imposto,AgCD2|PrefeitoCD,AgCD2|PrefeitoCD,378.0,4,5
imposto,EmpMaq|PrefeitoAT,AgAT3,51.3,4,5
imposto,AgCD2|PrefeitoCD,AgCD3|VereadorCD,1197.0,4,5
imposto,AgAT2|PrefeitoAT,EmpSem|FiscalAT,195.0,1,6
imposto,AgCD3|PrefeitoCD,EmpFert|FiscalCD,661.5,1,6
imposto,AgAT2|PrefeitoAT,EmpMaq,432.0,1,6
imposto,AgCD3|PrefeitoCD,EmpAgro,18.0,1,6
imposto,AgAT2|PrefeitoAT,AgAT1|VereadorAT,324.0,1,6
imposto,AgCD3|PrefeitoCD,AgCD1|VereadorCD,360.0,1,6
imposto,AgAT2|PrefeitoAT,AgAT2|PrefeitoAT,720.0,1,6
imposto,AgCD3|PrefeitoCD,AgCD2,12.0,1,6
imposto,AgAT2|PrefeitoAT,AgAT3,2160.0,1,6
imposto,AgCD3|PrefeitoCD,AgCD3|PrefeitoCD,324.0,1,6
imposto,AgAT2|PrefeitoAT,EmpSem|FiscalAT,181.25,2,6
imposto,AgCD3|PrefeitoCD,EmpFert|FiscalCD,738.0,2,6
imposto,AgAT2|PrefeitoAT,EmpMaq,316.25,2,6
imposto,AgCD3|PrefeitoCD,EmpAgro,147.0,2,6
imposto,AgAT2|PrefeitoAT,AgAT1|VereadorAT,99.75,2,6
imposto,AgCD3|PrefeitoCD,AgCD1|VereadorCD,376.2,2,6
imposto,AgAT2|PrefeitoAT,AgAT2|PrefeitoAT,912.0,2,6
imposto,AgCD3|PrefeitoCD,AgCD2,581.4,2,6
imposto,AgAT2|PrefeitoAT,AgAT3,1800.0,2,6
imposto,AgCD3|PrefeitoCD,AgCD3|PrefeitoCD,1710.0,2,6
imposto,AgAT2|PrefeitoAT,EmpSem|FiscalAT,213.0,3,6
imposto,AgCD3|PrefeitoCD,EmpFert|FiscalCD,731.25,3,6
imposto,AgAT2|PrefeitoAT,EmpMaq,595.5,3,6
imposto,AgCD3|PrefeitoCD,EmpAgro,17.5,3,6
imposto,AgAT2|PrefeitoAT,AgAT1|VereadorAT,205.2,3,6
imposto,AgCD3|PrefeitoCD,AgCD1|VereadorCD,570.0,3,6
imposto,AgAT2|PrefeitoAT,AgAT2|PrefeitoAT,702.0,3,6
imposto,AgCD3|PrefeitoCD,AgCD2,300.0,3,6
imposto,AgAT2|PrefeitoAT,AgAT3,720.0,3,6
imposto,AgCD3|PrefeitoCD,AgCD3|PrefeitoCD,1800.0,3,6
imposto,AgAT2|PrefeitoAT,EmpSem|FiscalAT,117.5,4,6
imposto,AgCD3|PrefeitoCD,EmpFert|FiscalCD,1134.0,4,6
imposto,AgAT2|PrefeitoAT,EmpMaq,667.5,4,6
imposto,AgCD3|PrefeitoCD,EmpAgro,10.0,4,6
imposto,AgAT2|PrefeitoAT,AgAT1|VereadorAT,570.0,4,6
imposto,AgCD3|PrefeitoCD,AgCD1|VereadorCD,798.0,4,6
imposto,AgAT2|PrefeitoAT,AgAT2|PrefeitoAT,570.0,4,6
imposto,AgCD3|PrefeitoCD,AgCD2,84.0,4,6
imposto,AgAT2|PrefeitoAT,AgAT3,570.0,4,6
imposto,AgCD3|PrefeitoCD,AgCD3|PrefeitoCD,503.99,4,6
imposto,EmpSem|PrefeitoAT,EmpSem|PrefeitoAT,127.5,1,7
imposto,AgCD2|PrefeitoCD,EmpFert,438.0,1,7
imposto,EmpSem|PrefeitoAT,EmpMaq|VereadorAT,333.0,1,7
imposto,AgCD2|PrefeitoCD,EmpAgro|VereadorCD,6.0,1,7
imposto,EmpSem|PrefeitoAT,AgAT1|FiscalAT,216.0,1,7
imposto,AgCD2|PrefeitoCD,AgCD1|FiscalCD,72.0,1,7
imposto,EmpSem|PrefeitoAT,AgAT2,72.0,1,7
imposto,AgCD2|PrefeitoCD,AgCD2|PrefeitoCD,276.0,1,7
imposto,EmpSem|PrefeitoAT,AgAT3,396.0,1,7
imposto,AgCD2|PrefeitoCD,AgCD3,234.0,1,7
imposto,EmpSem|PrefeitoAT,EmpSem|PrefeitoAT,165.0,2,7
imposto,AgCD2|PrefeitoCD,EmpFert,441.0,2,7
imposto,EmpSem|PrefeitoAT,EmpMaq|VereadorAT,462.0,2,7
imposto,AgCD2|PrefeitoCD,EmpAgro|VereadorCD,6.5,2,7
imposto,EmpSem|PrefeitoAT,AgAT1|FiscalAT,222.29,2,7
imposto,AgCD2|PrefeitoCD,AgCD1|FiscalCD,57.0,2,7
imposto,EmpSem|PrefeitoAT,AgAT2,51.3,2,7
imposto,AgCD2|PrefeitoCD,AgCD2|PrefeitoCD,51.0,2,7
imposto,EmpSem|PrefeitoAT,AgAT3,102.6,2,7
imposto,AgCD2|PrefeitoCD,AgCD3,282.15,2,7
imposto,EmpSem|PrefeitoAT,EmpSem|PrefeitoAT,201.25,3,7
imposto,AgCD2|PrefeitoCD,EmpFert,612.0,3,7
imposto,EmpSem|PrefeitoAT,EmpMaq|VereadorAT,1396.5,3,7
imposto,AgCD2|PrefeitoCD,EmpAgro|VereadorCD,141.0,3,7
imposto,EmpSem|PrefeitoAT,AgAT1|FiscalAT,503.99,3,7
imposto,AgCD2|PrefeitoCD,AgCD1|FiscalCD,68.39,3,7
imposto,EmpSem|PrefeitoAT,AgAT2,1197.0,3,7
imposto,AgCD2|PrefeitoCD,AgCD2|PrefeitoCD,256.5,3,7
imposto,EmpSem|PrefeitoAT,AgAT3,691.6,3,7
imposto,AgCD2|PrefeitoCD,AgCD3,501.59,3,7
imposto,EmpSem|PrefeitoAT,EmpSem|PrefeitoAT,257.25,4,7
imposto,AgCD2|PrefeitoCD,EmpFert,789.0,4,7
imposto,EmpSem|PrefeitoAT,EmpMaq|VereadorAT,1244.25,4,7
imposto,AgCD2|PrefeitoCD,EmpAgro|VereadorCD,9.0,4,7
imposto,EmpSem|PrefeitoAT,AgAT1|FiscalAT,798.0,4,7
imposto,AgCD2|PrefeitoCD,AgCD1|FiscalCD,153.9,4,7
imposto,EmpSem|PrefeitoAT,AgAT2,798.0,4,7
imposto,AgCD2|PrefeitoCD,AgCD2|PrefeitoCD,396.0,4,7
imposto,EmpSem|PrefeitoAT,AgAT3,798.0,4,7
imposto,AgCD2|PrefeitoCD,AgCD3,720.0,4,7
imposto,EmpSem|PrefeitoAT,EmpSem|PrefeitoAT,204.75,5,7
imposto,AgCD2|PrefeitoCD,EmpFert,603.0,5,7
imposto,EmpSem|PrefeitoAT,EmpMaq|VereadorAT,913.49,5,7
imposto,AgCD2|PrefeitoCD,EmpAgro|VereadorCD,18.0,5,7
imposto,EmpSem|PrefeitoAT,AgAT1|FiscalAT,798.0,5,7
imposto,AgCD2|PrefeitoCD,AgCD1|FiscalCD,17.09,5,7
imposto,EmpSem|PrefeitoAT,AgAT2,840.0,5,7
imposto,AgCD2|PrefeitoCD,AgCD2|PrefeitoCD,359.09,5,7
imposto,EmpSem|PrefeitoAT,AgAT3,1330.0,5,7
imposto,AgCD2|PrefeitoCD,AgCD3,513.0,5,7
imposto,EmpSem|PrefeitoAT,EmpSem|PrefeitoAT,111.0,1,8
imposto,EmpFert|PrefeitoCD,EmpFert|PrefeitoCD,450.0,1,8
imposto,EmpSem|PrefeitoAT,EmpMaq,153.0,1,8
imposto,EmpFert|PrefeitoCD,EmpAgro,17.0,1,8
imposto,EmpSem|PrefeitoAT,AgAT1|VereadorAT,1080.0,1,8
imposto,EmpFert|PrefeitoCD,AgCD1|FiscalCD,144.0,1,8
imposto,EmpSem|PrefeitoAT,AgAT2|FiscalAT,432.0,1,8
imposto,EmpFert|PrefeitoCD,AgCD2|VereadorCD,72.0,1,8
imposto,EmpSem|PrefeitoAT,EmpSem|PrefeitoAT,154.5,2,8
imposto,EmpFert|PrefeitoCD,EmpFert|PrefeitoCD,490.5,2,8
imposto,EmpSem|PrefeitoAT,EmpMaq,171.0,2,8
imposto,EmpFert|PrefeitoCD,EmpAgro,18.0,2,8
imposto,EmpSem|PrefeitoAT,AgAT1|VereadorAT,2160.0,2,8
imposto,EmpFert|PrefeitoCD,AgCD1|FiscalCD,72.0,2,8
imposto,EmpSem|PrefeitoAT,AgAT2|FiscalAT,714.0,2,8
imposto,EmpFert|PrefeitoCD,AgCD2|VereadorCD,57.0,2,8
imposto,EmpSem|PrefeitoAT,EmpSem|PrefeitoAT,76.25,3,8
imposto,EmpFert|PrefeitoCD,EmpFert|PrefeitoCD,651.0,3,8
imposto,EmpSem|PrefeitoAT,EmpMaq,66.25,3,8
imposto,EmpFert|PrefeitoCD,EmpAgro,25.5,3,8
imposto,EmpSem|PrefeitoAT,AgAT1|VereadorAT,900.0,3,8
imposto,EmpFert|PrefeitoCD,AgCD1|FiscalCD,738.5,3,8
imposto,EmpSem|PrefeitoAT,AgAT2|FiscalAT,59.0,3,8
imposto,EmpFert|PrefeitoCD,AgCD2|VereadorCD,79.8,3,8
imposto,EmpSem|PrefeitoAT,EmpSem|PrefeitoAT,102.5,4,8
imposto,EmpFert|PrefeitoCD,EmpFert|PrefeitoCD,619.5,4,8
imposto,EmpSem|PrefeitoAT,EmpMaq,226.25,4,8
imposto,EmpFert|PrefeitoCD,EmpAgro,87.5,4,8
imposto,EmpSem|PrefeitoAT,AgAT1|VereadorAT,1200.0,4,8
imposto,EmpFert|PrefeitoCD,AgCD1|FiscalCD,655.19,4,8
imposto,EmpSem|PrefeitoAT,AgAT2|FiscalAT,590.0,4,8
imposto,EmpFert|PrefeitoCD,AgCD2|VereadorCD,59.84,4,8
imposto,EmpSem|PrefeitoAT,EmpSem|PrefeitoAT,87.5,5,8
imposto,EmpFert|PrefeitoCD,EmpFert|PrefeitoCD,415.0,5,8
imposto,EmpSem|PrefeitoAT,EmpMaq|VereadorAT,315.0,5,8
imposto,EmpFert|PrefeitoCD,EmpAgro,5.0,5,8
imposto,EmpSem|PrefeitoAT,AgAT1,240.0,5,8
imposto,EmpFert|PrefeitoCD,AgCD1|FiscalCD,390.0,5,8
imposto,EmpSem|PrefeitoAT,AgAT2|FiscalAT,585.0,5,8
imposto,EmpFert|PrefeitoCD,AgCD2|VereadorCD,57.0,5,8
imposto,EmpMaq|PrefeitoAT,EmpSem|FiscalAT,159.0,1,9
imposto,AgCD1|PrefeitoCD,EmpFert|VereadorCD,550.5,1,9
imposto,EmpMaq|PrefeitoAT,EmpMaq|PrefeitoAT,364.5,1,9
imposto,AgCD1|PrefeitoCD,EmpAgro,18.0,1,9
imposto,EmpMaq|PrefeitoAT,AgAT1,720.0,1,9
imposto,AgCD1|PrefeitoCD,AgCD1|PrefeitoCD,144.0,1,9
imposto,EmpMaq|PrefeitoAT,AgAT2,144.0,1,9
imposto,AgCD1|PrefeitoCD,AgCD2|FiscalCD,1080.0,1,9
imposto,EmpMaq|PrefeitoAT,AgAT3|VereadorAT,378.0,1,9
imposto,AgCD1|PrefeitoCD,AgCD3,72.0,1,9
imposto,EmpMaq|PrefeitoAT,EmpSem|FiscalAT,227.5,2,9
imposto,AgCD1|PrefeitoCD,EmpFert|VereadorCD,714.0,2,9
imposto,EmpMaq|PrefeitoAT,EmpMaq|PrefeitoAT,596.25,2,9
imposto,AgCD1|PrefeitoCD,EmpAgro,9.0,2,9
imposto,EmpMaq|PrefeitoAT,AgAT1,570.0,2,9
imposto,AgCD1|PrefeitoCD,AgCD1|PrefeitoCD,9.5,2,9
imposto,EmpMaq|PrefeitoAT,AgAT2,47.5,2,9
imposto,AgCD1|PrefeitoCD,AgCD2|FiscalCD,840.0,2,9
imposto,EmpMaq|PrefeitoAT,AgAT3|VereadorAT,906.75,2,9
imposto,AgCD1|PrefeitoCD,AgCD3,79.8,2,9
imposto,EmpMaq|PrefeitoAT,EmpSem|FiscalAT,118.75,3,9
imposto,EmpFert|PrefeitoCD,EmpFert|PrefeitoCD,446.25,3,9
imposto,EmpMaq|PrefeitoAT,EmpMaq|PrefeitoAT,278.75,3,9
imposto,EmpFert|PrefeitoCD,EmpAgro|FiscalCD,16.5,3,9
imposto,EmpMaq|PrefeitoAT,AgAT1,570.0,3,9
imposto,EmpFert|PrefeitoCD,AgCD1|VereadorCD,9.5,3,9
imposto,EmpMaq|PrefeitoAT,AgAT2|VereadorAT,9.5,3,9
imposto,EmpFert|PrefeitoCD,AgCD2,9.5,3,9
imposto,EmpMaq|PrefeitoAT,AgAT3,463.12,3,9
imposto,EmpFert|PrefeitoCD,AgCD3,2394.0,3,9
imposto,EmpMaq|PrefeitoAT,EmpSem|FiscalAT,190.0,4,9
imposto,EmpFert|PrefeitoCD,EmpFert|PrefeitoCD,722.5,4,9
imposto,EmpMaq|PrefeitoAT,EmpMaq|PrefeitoAT,382.5,4,9
imposto,EmpFert|PrefeitoCD,EmpAgro|FiscalCD,102.5,4,9
imposto,EmpMaq|PrefeitoAT,AgAT1,570.0,4,9
imposto,EmpFert|PrefeitoCD,AgCD1|VereadorCD,380.0,4,9
imposto,EmpMaq|PrefeitoAT,AgAT2|VereadorAT,570.0,4,9
imposto,EmpFert|PrefeitoCD,AgCD2,570.0,4,9
imposto,EmpMaq|PrefeitoAT,AgAT3,1725.0,4,9
