acao,pessoa1,pessoa2,valor3,rodada,jogo
multa,EmpSem|FiscalAT,AgAT1,900.0,1,5
multa,EmpSem|FiscalAT,AgAT2|VereadorAT,900.0,1,5
multa,AgCD3|FiscalCD,AgCD2|PrefeitoCD,100.0,1,5
multa,AgCD3|FiscalCD,EmpFert,420.0,1,5
multa,EmpSem|FiscalAT,EmpMaq,105.0,2,5
multa,EmpSem|FiscalAT,EmpSem|FiscalAT,93.0,2,5
multa,AgCD3|FiscalCD,EmpFert,144.0,2,5
multa,AgCD1|FiscalCD,AgCD3|VereadorCD,300.0,4,5
multa,EmpSem|FiscalAT,EmpMaq,153.0,1,6
multa,EmpSem|FiscalAT,AgAT3,900.0,1,6
multa,EmpFert|FiscalCD,EmpFert|FiscalCD,246.0,1,6
multa,EmpSem|FiscalAT,EmpMaq,121.0,2,6
multa,EmpSem|FiscalAT,AgAT3,900.0,2,6
multa,EmpFert|FiscalCD,EmpFert|FiscalCD,360.0,2,6
multa,EmpFert|FiscalCD,AgCD2,158.34,2,6
multa,EmpFert|FiscalCD,AgCD3|PrefeitoCD,750.0,2,6
multa,EmpFert|FiscalCD,EmpFert|FiscalCD,105.0,3,6
multa,EmpFert|FiscalCD,AgCD3|PrefeitoCD,900.0,3,6
multa,EmpSem|FiscalAT,EmpMaq,372.0,3,6
multa,EmpFert|FiscalCD,EmpFert|FiscalCD,108.0,4,6
multa,EmpSem|FiscalAT,EmpMaq,756.0,4,6
multa,AgAT1|FiscalAT,AgAT2,3666666666666660,3,7
multa,AgAT1|FiscalAT,EmpMaq|VereadorAT,1212.0,3,7
multa,AgCD1|FiscalCD,AgCD2|PrefeitoCD,250.0,3,7
multa,AgCD1|FiscalCD,AgCD3,2933333333333330,3,7
multa,AgAT1|FiscalAT,EmpSem|PrefeitoAT,216.0,4,7
multa,AgCD1|FiscalCD,AgCD2|PrefeitoCD,15.0,4,7
multa,AgCD1|FiscalCD,AgCD2|PrefeitoCD,40.0,5,7
multa,AgCD1|FiscalCD,AgCD3,10.0,5,7
multa,AgCD1|FiscalCD,EmpFert,168.0,5,7
multa,AgAT1|FiscalAT,AgAT3,240.0,5,7
multa,AgAT1|FiscalAT,EmpMaq|VereadorAT,520.0,5,7
multa,AgCD1|FiscalCD,EmpFert|PrefeitoCD,108.0,1,8
multa,AgAT2|FiscalAT,AgAT1|VereadorAT,110.0,1,8
multa,AgAT2|FiscalAT,AgAT1|VereadorAT,900.0,2,8
multa,AgAT2|FiscalAT,AgAT1|VereadorAT,115.0,3,8
multa,AgCD1|FiscalCD,AgCD1|FiscalCD,"9,16666666666666E+015",3,8
multa,AgAT2|FiscalAT,AgAT1|VereadorAT,350.0,4,8
multa,AgAT2|FiscalAT,EmpMaq|VereadorAT,252.0,5,8
multa,AgCD2|FiscalCD,AgCD2|FiscalCD,125.0,1,9
multa,AgCD2|FiscalCD,EmpFert|VereadorCD,318.0,1,9
multa,EmpSem|FiscalAT,AgAT3|VereadorAT,110.0,1,9
multa,EmpSem|FiscalAT,EmpMaq|PrefeitoAT,124.0,1,9
multa,AgCD2|FiscalCD,AgCD1|PrefeitoCD,0.0,2,9
multa,AgCD2|FiscalCD,EmpFert|VereadorCD,144.0,2,9
multa,AgCD2|FiscalCD,EmpAgro,6.0,2,9
multa,AgCD2|FiscalCD,AgCD2|FiscalCD,45.0,2,9
multa,AgCD2|FiscalCD,AgCD3,60.0,2,9
multa,EmpSem|FiscalAT,AgAT3|VereadorAT,330.0,2,9
multa,EmpSem|FiscalAT,EmpMaq|PrefeitoAT,246.0,2,9
multa,EmpSem|FiscalAT,EmpMaq|PrefeitoAT,117.0,3,9
multa,EmpAgro|FiscalCD,AgCD3,900.0,4,9
multa,EmpSem|FiscalAT,EmpMaq|PrefeitoAT,486.0,4,9
multa,EmpSem|FiscalAT,AgAT1,90.0,4,9
multa,EmpSem|FiscalAT,AgAT2|VereadorAT,90.0,4,9
multa,EmpSem|FiscalAT,AgAT3,900.0,4,9
