acao,pessoa1,pessoa2,selo,rodada,jogo
selo,EmpSem|FiscalAT,AgAT3,1,1,5
selo,EmpSem|FiscalAT,AgAT3,2,1,5
selo,EmpSem|FiscalAT,AgAT3,3,1,5
selo,EmpSem|FiscalAT,AgAT3,4,1,5
selo,EmpSem|FiscalAT,AgAT3,5,1,5
selo,EmpSem|FiscalAT,AgAT3,6,1,5
selo,AgCD3|FiscalCD,AgCD3|FiscalCD,1,1,5
selo,AgCD3|FiscalCD,AgCD3|FiscalCD,2,1,5
selo,AgCD3|FiscalCD,AgCD3|FiscalCD,3,1,5
selo,AgCD3|FiscalCD,AgCD3|FiscalCD,4,1,5
selo,AgCD3|FiscalCD,AgCD3|FiscalCD,5,1,5
selo,AgCD3|FiscalCD,AgCD3|FiscalCD,6,1,5
selo,EmpSem|FiscalAT,AgAT2|VereadorAT,1,2,5
selo,EmpSem|FiscalAT,AgAT2|VereadorAT,2,2,5
selo,EmpSem|FiscalAT,AgAT2|VereadorAT,3,2,5
selo,EmpSem|FiscalAT,AgAT2|VereadorAT,4,2,5
selo,EmpSem|FiscalAT,AgAT1,1,2,5
selo,EmpSem|FiscalAT,AgAT1,2,2,5
selo,EmpSem|FiscalAT,AgAT1,3,2,5
selo,EmpSem|FiscalAT,AgAT1,4,2,5
selo,AgCD1|FiscalCD,AgCD1|FiscalCD,1,3,5
selo,AgCD1|FiscalCD,AgCD1|FiscalCD,2,3,5
selo,AgCD1|FiscalCD,AgCD1|FiscalCD,3,3,5
selo,AgCD1|FiscalCD,AgCD1|FiscalCD,4,3,5
selo,AgCD1|FiscalCD,AgCD1|FiscalCD,5,3,5
selo,AgCD1|FiscalCD,AgCD1|FiscalCD,6,3,5
selo,AgCD1|FiscalCD,AgCD3|VereadorCD,1,3,5
selo,AgCD1|FiscalCD,AgCD3|VereadorCD,2,3,5
selo,AgCD1|FiscalCD,AgCD3|VereadorCD,3,3,5
selo,AgCD1|FiscalCD,AgCD3|VereadorCD,4,3,5
selo,AgCD1|FiscalCD,AgCD3|VereadorCD,5,3,5
selo,AgCD1|FiscalCD,AgCD3|VereadorCD,6,3,5
selo,EmpSem|FiscalAT,AgAT1,5,3,5
selo,EmpSem|FiscalAT,AgAT1,6,3,5
selo,EmpSem|FiscalAT,AgAT2|VereadorAT,5,3,5
selo,EmpSem|FiscalAT,AgAT2|VereadorAT,6,3,5
selo,EmpSem|FiscalAT,AgAT3,5,3,5
selo,EmpSem|FiscalAT,AgAT3,6,3,5
selo,EmpSem|FiscalAT,AgAT1|VereadorAT,1,1,6
selo,EmpSem|FiscalAT,AgAT1|VereadorAT,2,1,6
selo,EmpSem|FiscalAT,AgAT1|VereadorAT,3,1,6
selo,EmpSem|FiscalAT,AgAT1|VereadorAT,4,1,6
selo,EmpSem|FiscalAT,AgAT1|VereadorAT,5,1,6
selo,EmpSem|FiscalAT,AgAT1|VereadorAT,6,1,6
selo,EmpSem|FiscalAT,AgAT2|PrefeitoAT,1,1,6
selo,EmpSem|FiscalAT,AgAT2|PrefeitoAT,2,1,6
selo,EmpSem|FiscalAT,AgAT2|PrefeitoAT,3,1,6
selo,EmpSem|FiscalAT,AgAT2|PrefeitoAT,4,1,6
selo,EmpSem|FiscalAT,AgAT2|PrefeitoAT,5,1,6
selo,EmpSem|FiscalAT,AgAT2|PrefeitoAT,6,1,6
selo,EmpFert|FiscalCD,AgCD1|VereadorCD,1,1,6
selo,EmpFert|FiscalCD,AgCD1|VereadorCD,2,1,6
selo,EmpFert|FiscalCD,AgCD1|VereadorCD,3,1,6
selo,EmpFert|FiscalCD,AgCD1|VereadorCD,4,1,6
selo,EmpFert|FiscalCD,AgCD1|VereadorCD,5,1,6
selo,EmpFert|FiscalCD,AgCD1|VereadorCD,6,1,6
selo,EmpFert|FiscalCD,AgCD2,1,1,6
selo,EmpFert|FiscalCD,AgCD2,2,1,6
selo,EmpFert|FiscalCD,AgCD2,3,1,6
selo,EmpFert|FiscalCD,AgCD2,4,1,6
selo,EmpFert|FiscalCD,AgCD2,5,1,6
selo,EmpFert|FiscalCD,AgCD2,6,1,6
selo,EmpFert|FiscalCD,AgCD3|PrefeitoCD,1,1,6
selo,EmpFert|FiscalCD,AgCD3|PrefeitoCD,2,1,6
selo,EmpFert|FiscalCD,AgCD3|PrefeitoCD,3,1,6
selo,EmpFert|FiscalCD,AgCD3|PrefeitoCD,4,1,6
selo,EmpFert|FiscalCD,AgCD3|PrefeitoCD,5,1,6
selo,EmpFert|FiscalCD,AgCD3|PrefeitoCD,6,1,6
selo,EmpFert|FiscalCD,AgCD1|VereadorCD,1,2,6
selo,EmpFert|FiscalCD,AgCD1|VereadorCD,2,2,6
selo,EmpFert|FiscalCD,AgCD1|VereadorCD,3,2,6
selo,EmpFert|FiscalCD,AgCD1|VereadorCD,4,2,6
selo,EmpFert|FiscalCD,AgCD1|VereadorCD,5,2,6
selo,EmpFert|FiscalCD,AgCD1|VereadorCD,6,2,6
selo,EmpFert|FiscalCD,AgCD1|VereadorCD,1,3,6
selo,EmpFert|FiscalCD,AgCD1|VereadorCD,2,3,6
selo,EmpFert|FiscalCD,AgCD1|VereadorCD,3,3,6
selo,EmpFert|FiscalCD,AgCD1|VereadorCD,4,3,6
selo,EmpFert|FiscalCD,AgCD1|VereadorCD,5,3,6
selo,EmpFert|FiscalCD,AgCD1|VereadorCD,6,3,6
selo,EmpFert|FiscalCD,AgCD3|PrefeitoCD,1,3,6
selo,EmpFert|FiscalCD,AgCD3|PrefeitoCD,2,3,6
selo,EmpFert|FiscalCD,AgCD3|PrefeitoCD,3,3,6
selo,EmpSem|FiscalAT,AgAT1|VereadorAT,1,3,6
selo,EmpSem|FiscalAT,AgAT1|VereadorAT,2,3,6
selo,EmpSem|FiscalAT,AgAT1|VereadorAT,3,3,6
selo,EmpSem|FiscalAT,AgAT1|VereadorAT,4,3,6
selo,EmpSem|FiscalAT,AgAT1|VereadorAT,5,3,6
selo,EmpSem|FiscalAT,AgAT1|VereadorAT,6,3,6
selo,EmpSem|FiscalAT,AgAT2|PrefeitoAT,1,3,6
selo,EmpSem|FiscalAT,AgAT2|PrefeitoAT,2,3,6
selo,EmpSem|FiscalAT,AgAT2|PrefeitoAT,3,3,6
selo,EmpSem|FiscalAT,AgAT2|PrefeitoAT,4,3,6
selo,EmpSem|FiscalAT,AgAT2|PrefeitoAT,5,3,6
selo,EmpSem|FiscalAT,AgAT2|PrefeitoAT,6,3,6
selo,EmpSem|FiscalAT,AgAT3,1,3,6
selo,EmpSem|FiscalAT,AgAT3,2,3,6
selo,EmpSem|FiscalAT,AgAT3,3,3,6
selo,EmpSem|FiscalAT,AgAT3,4,3,6
selo,EmpSem|FiscalAT,AgAT3,5,3,6
selo,EmpSem|FiscalAT,AgAT3,6,3,6
selo,EmpFert|FiscalCD,AgCD1|VereadorCD,1,4,6
selo,EmpFert|FiscalCD,AgCD1|VereadorCD,2,4,6
selo,EmpFert|FiscalCD,AgCD1|VereadorCD,3,4,6
selo,EmpFert|FiscalCD,AgCD1|VereadorCD,4,4,6
selo,EmpFert|FiscalCD,AgCD1|VereadorCD,5,4,6
selo,EmpFert|FiscalCD,AgCD1|VereadorCD,6,4,6
selo,EmpFert|FiscalCD,AgCD2,1,4,6
selo,EmpFert|FiscalCD,AgCD2,2,4,6
selo,EmpFert|FiscalCD,AgCD2,3,4,6
selo,EmpFert|FiscalCD,AgCD2,4,4,6
selo,EmpFert|FiscalCD,AgCD2,5,4,6
selo,EmpFert|FiscalCD,AgCD2,6,4,6
selo,EmpFert|FiscalCD,AgCD3|PrefeitoCD,1,4,6
selo,EmpFert|FiscalCD,AgCD3|PrefeitoCD,2,4,6
selo,EmpFert|FiscalCD,AgCD3|PrefeitoCD,3,4,6
selo,EmpFert|FiscalCD,AgCD3|PrefeitoCD,4,4,6
selo,EmpFert|FiscalCD,AgCD3|PrefeitoCD,5,4,6
selo,EmpFert|FiscalCD,AgCD3|PrefeitoCD,6,4,6
selo,EmpSem|FiscalAT,AgAT1|VereadorAT,1,4,6
selo,EmpSem|FiscalAT,AgAT1|VereadorAT,2,4,6
selo,EmpSem|FiscalAT,AgAT1|VereadorAT,3,4,6
selo,EmpSem|FiscalAT,AgAT1|VereadorAT,4,4,6
selo,EmpSem|FiscalAT,AgAT1|VereadorAT,5,4,6
selo,EmpSem|FiscalAT,AgAT1|VereadorAT,6,4,6
selo,EmpSem|FiscalAT,AgAT2|PrefeitoAT,1,4,6
selo,EmpSem|FiscalAT,AgAT2|PrefeitoAT,2,4,6
selo,EmpSem|FiscalAT,AgAT2|PrefeitoAT,3,4,6
selo,EmpSem|FiscalAT,AgAT2|PrefeitoAT,4,4,6
selo,EmpSem|FiscalAT,AgAT2|PrefeitoAT,5,4,6
selo,EmpSem|FiscalAT,AgAT2|PrefeitoAT,6,4,6
selo,EmpSem|FiscalAT,AgAT3,1,4,6
selo,EmpSem|FiscalAT,AgAT3,2,4,6
selo,EmpSem|FiscalAT,AgAT3,3,4,6
selo,EmpSem|FiscalAT,AgAT3,4,4,6
selo,EmpSem|FiscalAT,AgAT3,5,4,6
selo,EmpSem|FiscalAT,AgAT3,6,4,6
selo,AgAT1|FiscalAT,AgAT1|FiscalAT,1,1,7
selo,AgAT1|FiscalAT,AgAT1|FiscalAT,2,1,7
selo,AgAT1|FiscalAT,AgAT1|FiscalAT,3,1,7
selo,AgAT1|FiscalAT,AgAT1|FiscalAT,4,1,7
selo,AgAT1|FiscalAT,AgAT1|FiscalAT,5,1,7
selo,AgAT1|FiscalAT,AgAT1|FiscalAT,6,1,7
selo,AgAT1|FiscalAT,AgAT2,1,1,7
selo,AgAT1|FiscalAT,AgAT2,2,1,7
selo,AgAT1|FiscalAT,AgAT2,3,1,7
selo,AgAT1|FiscalAT,AgAT2,4,1,7
selo,AgAT1|FiscalAT,AgAT2,5,1,7
selo,AgAT1|FiscalAT,AgAT2,6,1,7
selo,AgAT1|FiscalAT,AgAT3,1,1,7
selo,AgAT1|FiscalAT,AgAT3,2,1,7
selo,AgAT1|FiscalAT,AgAT3,3,1,7
selo,AgAT1|FiscalAT,AgAT3,4,1,7
selo,AgAT1|FiscalAT,AgAT3,5,1,7
selo,AgAT1|FiscalAT,AgAT3,6,1,7
selo,AgCD1|FiscalCD,AgCD1|FiscalCD,6,1,7
selo,AgCD1|FiscalCD,AgCD1|FiscalCD,1,1,7
selo,AgCD1|FiscalCD,AgCD1|FiscalCD,2,1,7
selo,AgCD1|FiscalCD,AgCD1|FiscalCD,3,1,7
selo,AgCD1|FiscalCD,AgCD1|FiscalCD,4,1,7
selo,AgCD1|FiscalCD,AgCD1|FiscalCD,5,1,7
selo,AgCD1|FiscalCD,AgCD3,1,1,7
selo,AgCD1|FiscalCD,AgCD3,2,1,7
selo,AgCD1|FiscalCD,AgCD3,3,1,7
selo,AgCD1|FiscalCD,AgCD3,4,1,7
selo,AgCD1|FiscalCD,AgCD3,5,1,7
selo,AgCD1|FiscalCD,AgCD3,6,1,7
selo,AgCD1|FiscalCD,AgCD2|PrefeitoCD,1,2,7
selo,AgCD1|FiscalCD,AgCD2|PrefeitoCD,2,2,7
selo,AgCD1|FiscalCD,AgCD2|PrefeitoCD,3,2,7
selo,AgCD1|FiscalCD,AgCD2|PrefeitoCD,4,2,7
selo,AgCD1|FiscalCD,AgCD2|PrefeitoCD,5,2,7
selo,AgCD1|FiscalCD,AgCD2|PrefeitoCD,6,2,7
