acao,cidade,personagem,tipo_taxa,valor,rodada,jogo
taxa,Atlantis,EmpMaq|PrefeitoAT,1,10,1,5
taxa,Atlantis,EmpMaq|PrefeitoAT,2,10%,1,5
taxa,Atlantis,EmpMaq|PrefeitoAT,3,30%,1,5
taxa,Atlantis,EmpMaq|PrefeitoAT,1,10,2,5
taxa,Atlantis,EmpMaq|PrefeitoAT,2,10%,2,5
taxa,Atlantis,EmpMaq|PrefeitoAT,3,35%,2,5
taxa,Atlantis,EmpMaq|PrefeitoAT,1,5,3,5
taxa,Atlantis,EmpMaq|PrefeitoAT,2,5%,3,5
taxa,Atlantis,EmpMaq|PrefeitoAT,3,30%,3,5
taxa,Atlantis,EmpMaq|PrefeitoAT,1,5,4,5
taxa,Atlantis,EmpMaq|PrefeitoAT,2,5%,4,5
taxa,Atlantis,EmpMaq|PrefeitoAT,3,30%,4,5
taxa,Cidadela,AgCD2|PrefeitoCD,1,10,1,5
taxa,Cidadela,AgCD2|PrefeitoCD,2,10%,1,5
taxa,Cidadela,AgCD2|PrefeitoCD,3,30%,1,5
taxa,Cidadela,AgCD2|PrefeitoCD,1,5,2,5
taxa,Cidadela,AgCD2|PrefeitoCD,2,10%,2,5
taxa,Cidadela,AgCD2|PrefeitoCD,3,35%,2,5
taxa,Cidadela,AgCD2|PrefeitoCD,1,5,3,5
taxa,Cidadela,AgCD2|PrefeitoCD,2,10%,3,5
taxa,Cidadela,AgCD2|PrefeitoCD,3,35%,3,5
taxa,Cidadela,AgCD2|PrefeitoCD,1,5,4,5
taxa,Cidadela,AgCD2|PrefeitoCD,2,10%,4,5
taxa,Cidadela,AgCD2|PrefeitoCD,3,35%,4,5
taxa,Atlantis,AgAT2|PrefeitoAT,1,10,1,6
taxa,Atlantis,AgAT2|PrefeitoAT,2,10%,1,6
taxa,Atlantis,AgAT2|PrefeitoAT,3,30%,1,6
taxa,Cidadela,AgCD3|PrefeitoCD,1,10,1,6
taxa,Cidadela,AgCD3|PrefeitoCD,2,10%,1,6
taxa,Cidadela,AgCD3|PrefeitoCD,3,30%,1,6
taxa,Atlantis,AgAT2|PrefeitoAT,1,10,2,6
taxa,Atlantis,AgAT2|PrefeitoAT,2,10%,2,6
taxa,Atlantis,AgAT2|PrefeitoAT,3,25%,2,6
taxa,Cidadela,AgCD3|PrefeitoCD,1,10,2,6
taxa,Cidadela,AgCD3|PrefeitoCD,2,10%,2,6
taxa,Cidadela,AgCD3|PrefeitoCD,3,30%,2,6
taxa,Cidadela,AgCD3|PrefeitoCD,1,10,3,6
taxa,Cidadela,AgCD3|PrefeitoCD,2,10%,3,6
taxa,Cidadela,AgCD3|PrefeitoCD,3,25%,3,6
taxa,Atlantis,AgAT2|PrefeitoAT,1,10,3,6
taxa,Atlantis,AgAT2|PrefeitoAT,2,10%,3,6
taxa,Atlantis,AgAT2|PrefeitoAT,3,30%,3,6
taxa,Cidadela,AgCD3|PrefeitoCD,1,10,4,6
taxa,Cidadela,AgCD3|PrefeitoCD,2,15%,4,6
taxa,Cidadela,AgCD3|PrefeitoCD,3,30%,4,6
taxa,Atlantis,AgAT2|PrefeitoAT,1,10,4,6
taxa,Atlantis,AgAT2|PrefeitoAT,2,10%,4,6
taxa,Atlantis,AgAT2|PrefeitoAT,3,25%,4,6
taxa,Atlantis,,1,10,1,7
taxa,Atlantis,,2,10%,1,7
taxa,Atlantis,,3,30%,1,7
taxa,Atlantis,,1,10,2,7
taxa,Atlantis,,2,10%,2,7
taxa,Atlantis,,3,30%,2,7
taxa,Atlantis,,1,10,3,7
taxa,Atlantis,,2,10%,3,7
taxa,Atlantis,,3,35%,3,7
taxa,Atlantis,,1,10,4,7
taxa,Atlantis,,2,10%,4,7
taxa,Atlantis,,3,35%,4,7
taxa,Atlantis,,1,10,5,7
taxa,Atlantis,,2,10%,5,7
taxa,Atlantis,,3,35%,5,7
taxa,Cidadela,,1,10,1,7
taxa,Cidadela,,2,10%,1,7
taxa,Cidadela,,3,30%,1,7
