acao,pessoa1,pessoa2,valor,rodada,jogo
imposto,prefeito EmpMaq,EmpSem,292.5,1,5
imposto,prefeito CD2,EmpFer,637.5,1,5
imposto,prefeito EmpMaq,EmpMaq,213.0,1,5
imposto,prefeito CD2,EmpAgr,124.5,1,5
imposto,prefeito EmpMaq,AT1,1620.0,1,5
imposto,prefeito CD2,CD1,282.0,1,5
imposto,prefeito EmpMaq,AT2,1620.0,1,5
imposto,prefeito CD2,CD2,468.0,1,5
imposto,prefeito EmpMaq,AT3,54.0,1,5
imposto,prefeito CD2,CD3,720.0,1,5
imposto,prefeito EmpMaq,EmpSem,318.5,2,5
imposto,prefeito CD2,EmpFer,"9,86999999999999E+015",2,5
imposto,prefeito EmpMaq,EmpMaq,358.75,2,5
imposto,prefeito CD2,EmpAgr,16.0,2,5
imposto,prefeito EmpMaq,AT1,84.0,2,5
imposto,prefeito CD2,CD1,283.5,2,5
imposto,prefeito EmpMaq,AT2,"5,03999999999999E+016",2,5
imposto,prefeito CD2,CD2,616.0,2,5
imposto,prefeito EmpMaq,AT3,5984999999999990,2,5
imposto,prefeito CD2,CD3,2394.0,2,5
imposto,prefeito EmpMaq,EmpSem,264.0,3,5
imposto,prefeito CD2,EmpFer,1037.75,3,5
imposto,prefeito EmpMaq,EmpMaq,438.0,3,5
imposto,prefeito CD2,EmpAgr,1.5,3,5
imposto,prefeito EmpMaq,AT1,66.7,3,5
imposto,prefeito CD2,CD1,532.0,3,5
imposto,prefeito EmpMaq,AT2,313.2,3,5
imposto,prefeito CD2,CD2,672.0,3,5
imposto,prefeito EmpMaq,AT3,52.2,3,5
imposto,prefeito CD2,CD3,798.0,3,5
imposto,prefeito EmpMaq,EmpSem,201.0,4,5
imposto,prefeito CD2,EmpFer,857.5,4,5
imposto,prefeito EmpMaq,EmpMaq,121.5,4,5
imposto,prefeito CD2,EmpAgr,10.5,4,5
imposto,prefeito EmpMaq,AT1,6839999999999990,4,5
imposto,prefeito CD2,CD1,79.8,4,5
imposto,prefeito EmpMaq,AT2,615.6,4,5
imposto,prefeito CD2,CD2,378.0,4,5
imposto,prefeito EmpMaq,AT3,51.3,4,5
imposto,prefeito CD2,CD3,1197.0,4,5
