rodada 1;;;;;
eleicao;Fiscal;Atlantis;EmpSem;;
eleicao;Prefeito;Atlantis;EmpMaq;;
eleicao;Vereador;Atlantis;AT2;;
eleicao;Fiscal;Cidadela;CD3;;
eleicao;Prefeito;Cidadela;CD2;;
eleicao;Vereador;Cidadela;CD1;;
venda/aluguel;EmpSem;AT2;1;Soja;normal
venda/aluguel;EmpFer;AT2;1;Premium;normal
venda/aluguel;EmpAgr;AT2;1;Super premium;normal
venda/aluguel;EmpSem;AT2;2;Soja;normal
venda/aluguel;EmpFer;AT2;2;Premium;normal
venda/aluguel;EmpAgr;AT2;2;Super premium;normal
venda/aluguel;EmpSem;AT2;3;Soja;normal
venda/aluguel;EmpFer;AT2;3;Premium;normal
venda/aluguel;EmpAgr;AT2;3;Super premium;normal
venda/aluguel;EmpSem;AT2;4;Soja;normal
venda/aluguel;EmpFer;AT2;4;Premium;normal
venda/aluguel;EmpAgr;AT2;4;Super premium;normal
venda/aluguel;EmpSem;AT2;5;Soja;normal
venda/aluguel;EmpFer;AT2;5;Premium;normal
venda/aluguel;EmpAgr;AT2;5;Super premium;normal
venda/aluguel;EmpSem;AT2;6;Soja;normal
venda/aluguel;EmpFer;AT2;6;Premium;normal
venda/aluguel;EmpAgr;AT2;6;Super premium;normal
venda/aluguel;EmpSem;CD3;1;Soja;baixo
venda/aluguel;EmpFer;CD3;1;Super premium;baixo
venda/aluguel;EmpMaq;CD3;1;Maquinas 3;baixo
venda/aluguel;EmpSem;CD3;2;Soja;baixo
venda/aluguel;EmpFer;CD3;2;Super premium;baixo
venda/aluguel;EmpMaq;CD3;2;Maquinas 3;baixo
venda/aluguel;EmpSem;CD3;3;Soja;baixo
venda/aluguel;EmpFer;CD3;3;Super premium;baixo
venda/aluguel;EmpMaq;CD3;3;Maquinas 3;baixo
venda/aluguel;EmpSem;CD3;4;Soja;normal
venda/aluguel;EmpFer;CD3;4;Super premium;baixo
venda/aluguel;EmpMaq;CD3;4;Maquinas 3;baixo
venda/aluguel;EmpSem;CD3;5;Soja;normal
venda/aluguel;EmpFer;CD3;5;Super premium;baixo
venda/aluguel;EmpMaq;CD3;5;Maquinas 3;baixo
venda/aluguel;EmpSem;CD3;6;Soja;normal
venda/aluguel;EmpFer;CD3;6;Super premium;baixo
venda/aluguel;EmpMaq;CD3;6;Maquinas 3;baixo
venda/aluguel;EmpSem;CD1;1;Arroz;alto
venda/aluguel;EmpFer;CD1;1;Comum;baixo
venda/aluguel;EmpSem;CD1;2;Arroz;alto
venda/aluguel;EmpFer;CD1;2;Comum;baixo
venda/aluguel;EmpSem;CD1;3;Soja;normal
venda/aluguel;EmpFer;CD1;3;Super premium;baixo
venda/aluguel;EmpMaq;CD1;3;Maquinas 3;normal
venda/aluguel;EmpSem;CD1;4;Soja;normal
venda/aluguel;EmpFer;CD1;4;Super premium;normal
venda/aluguel;EmpMaq;CD1;4;Maquinas 2;baixo
venda/aluguel;EmpSem;CD1;5;Soja;normal
venda/aluguel;EmpFer;CD1;5;Super premium;baixo
venda/aluguel;EmpMaq;CD1;5;Maquinas 2;baixo
venda/aluguel;EmpSem;CD1;6;Soja;normal
venda/aluguel;EmpFer;CD1;6;Comum;baixo
venda/aluguel;EmpSem;CD2;1;Arroz;normal
venda/aluguel;EmpFer;CD2;1;Comum;baixo
venda/aluguel;EmpAgr;CD2;1;Comum;normal
venda/aluguel;EmpSem;CD2;2;Arroz;normal
venda/aluguel;EmpFer;CD2;2;Comum;baixo
venda/aluguel;EmpAgr;CD2;2;Comum;normal
venda/aluguel;EmpSem;CD2;3;Arroz;normal
venda/aluguel;EmpFer;CD2;3;Comum;baixo
venda/aluguel;EmpAgr;CD2;3;Comum;normal
venda/aluguel;EmpSem;CD2;4;Arroz;normal
venda/aluguel;EmpFer;CD2;4;Comum;baixo
venda/aluguel;EmpAgr;CD2;4;Comum;normal
venda/aluguel;EmpSem;CD2;5;Soja;baixo
venda/aluguel;EmpFer;CD2;5;Premium;normal
venda/aluguel;EmpAgr;CD2;5;Premium;baixo
venda/aluguel;EmpSem;CD2;6;Soja;baixo
venda/aluguel;EmpFer;CD2;6;Premium;normal
venda/aluguel;EmpAgr;CD2;6;Premium;baixo
pedido para fiscal;CD3;fiscal CD3;pedir Selo Verde.;;
pedido para fiscal;AT3;fiscal EmpSem;pedir Selo Verde.;;
venda/aluguel;EmpSem;AT3;1;Arroz;alto
venda/aluguel;EmpFer;AT3;1;Premium;baixo
venda/aluguel;EmpSem;AT3;2;Arroz;alto
venda/aluguel;EmpFer;AT3;2;Premium;baixo
venda/aluguel;EmpSem;AT3;3;Soja;normal
venda/aluguel;EmpFer;AT3;3;Premium;normal
venda/aluguel;EmpSem;AT3;4;Soja;normal
venda/aluguel;EmpFer;AT3;4;Premium;normal
venda/aluguel;EmpSem;AT3;5;Soja;normal
venda/aluguel;EmpFer;AT3;5;Premium;normal
venda/aluguel;EmpSem;AT3;6;Soja;normal
venda/aluguel;EmpFer;AT3;6;Premium;normal
venda/aluguel;EmpSem;AT1;1;Soja;normal
venda/aluguel;EmpFer;AT1;1;Premium;baixo
venda/aluguel;EmpAgr;AT1;1;Super premium;normal
venda/aluguel;EmpSem;AT1;2;Soja;normal
venda/aluguel;EmpFer;AT1;2;Premium;baixo
venda/aluguel;EmpAgr;AT1;2;Super premium;normal
venda/aluguel;EmpSem;AT1;3;Soja;baixo
venda/aluguel;EmpFer;AT1;3;Premium;normal
venda/aluguel;EmpAgr;AT1;3;Super premium;normal
venda/aluguel;EmpSem;AT1;4;Soja;baixo
venda/aluguel;EmpFer;AT1;4;Premium;normal
venda/aluguel;EmpAgr;AT1;4;Super premium;baixo
venda/aluguel;EmpSem;AT1;5;Soja;baixo
venda/aluguel;EmpFer;AT1;5;Premium;normal
venda/aluguel;EmpAgr;AT1;5;Super premium;baixo
venda/aluguel;EmpSem;AT1;6;Soja;baixo
venda/aluguel;EmpFer;AT1;6;Premium;normal
venda/aluguel;EmpAgr;AT1;6;Super premium;baixo
imposto;prefeito EmpMaq;EmpSem;292.5;;
imposto;prefeito CD2;EmpFer;637.5;;
imposto;prefeito EmpMaq;EmpMaq;213.0;;
imposto;prefeito CD2;EmpAgr;124.5;;
imposto;prefeito EmpMaq;AT1;1620.0;;
imposto;prefeito CD2;CD1;282.0;;
imposto;prefeito EmpMaq;AT2;1620.0;;
imposto;prefeito CD2;CD2;468.0;;
imposto;prefeito EmpMaq;AT3;54.0;;
imposto;prefeito CD2;CD3;720.0;;
multa;EmpSem;AT1;900.0;;
multa;EmpSem;AT2;900.0;;
deu selo;EmpSem;AT3;1;;
deu selo;EmpSem;AT3;2;;
deu selo;EmpSem;AT3;3;;
deu selo;EmpSem;AT3;4;;
deu selo;EmpSem;AT3;5;;
deu selo;EmpSem;AT3;6;;
usa acao;prefeito CD2;Agua;;;
usa acao;prefeito CD2;Lixo;;;
usa acao;prefeito CD2;Esgoto;;;
troca taxa;CD2;1;5.0;;
troca taxa;CD2;3;35.0%;;
multa;CD3;CD2;100.0;;
