acao,pessoa1,pessoa2,selo,rodada,jogo
deu selo,EmpSem,AT3,1,1,5
deu selo,EmpSem,AT3,2,1,5
deu selo,EmpSem,AT3,3,1,5
deu selo,EmpSem,AT3,4,1,5
deu selo,EmpSem,AT3,5,1,5
deu selo,EmpSem,AT3,6,1,5
deu selo,CD3,CD3,1,1,5
deu selo,CD3,CD3,2,1,5
deu selo,CD3,CD3,3,1,5
deu selo,CD3,CD3,4,1,5
deu selo,CD3,CD3,5,1,5
deu selo,CD3,CD3,6,1,5
rodada 2,,,,,
deu selo,EmpSem,AT2,1,2,5
deu selo,EmpSem,AT2,2,2,5
deu selo,EmpSem,AT2,3,2,5
deu selo,EmpSem,AT2,4,2,5
deu selo,EmpSem,AT1,1,2,5
deu selo,EmpSem,AT1,2,2,5
deu selo,EmpSem,AT1,3,2,5
deu selo,EmpSem,AT1,4,2,5
tirou selo,EmpSem,AT3,5,2,5
tirou selo,EmpSem,AT3,6,2,5
rodada 3,,,,,
deu selo,CD1,CD1,1,3,5
deu selo,CD1,CD1,2,3,5
deu selo,CD1,CD1,3,3,5
deu selo,CD1,CD1,4,3,5
deu selo,CD1,CD1,5,3,5
deu selo,CD1,CD1,6,3,5
deu selo,CD1,CD3,1,3,5
deu selo,CD1,CD3,2,3,5
deu selo,CD1,CD3,3,3,5
deu selo,CD1,CD3,4,3,5
deu selo,CD1,CD3,5,3,5
deu selo,CD1,CD3,6,3,5
deu selo,EmpSem,AT1,5,3,5
deu selo,EmpSem,AT1,6,3,5
deu selo,EmpSem,AT2,5,3,5
deu selo,EmpSem,AT2,6,3,5
deu selo,EmpSem,AT3,5,3,5
deu selo,EmpSem,AT3,6,3,5
rodada 4,,,,,
tirou selo,CD1,CD3,1,4,5
tirou selo,CD1,CD3,2,4,5
tirou selo,CD1,CD3,3,4,5
