acao,pessoa1,pessoa2,selo,rodada,jogo
selo,EmpSem,AT3,1,1,5
selo,EmpSem,AT3,2,1,5
selo,EmpSem,AT3,3,1,5
selo,EmpSem,AT3,4,1,5
selo,EmpSem,AT3,5,1,5
selo,EmpSem,AT3,6,1,5
selo,CD3,CD3,1,1,5
selo,CD3,CD3,2,1,5
selo,CD3,CD3,3,1,5
selo,CD3,CD3,4,1,5
selo,CD3,CD3,5,1,5
selo,CD3,CD3,6,1,5
selo,EmpSem,AT2,1,2,5
selo,EmpSem,AT2,2,2,5
selo,EmpSem,AT2,3,2,5
selo,EmpSem,AT2,4,2,5
selo,EmpSem,AT1,1,2,5
selo,EmpSem,AT1,2,2,5
selo,EmpSem,AT1,3,2,5
selo,EmpSem,AT1,4,2,5
selo,CD1,CD1,1,3,5
selo,CD1,CD1,2,3,5
selo,CD1,CD1,3,3,5
selo,CD1,CD1,4,3,5
selo,CD1,CD1,5,3,5
selo,CD1,CD1,6,3,5
selo,CD1,CD3,1,3,5
selo,CD1,CD3,2,3,5
selo,CD1,CD3,3,3,5
selo,CD1,CD3,4,3,5
selo,CD1,CD3,5,3,5
selo,CD1,CD3,6,3,5
selo,EmpSem,AT1,5,3,5
selo,EmpSem,AT1,6,3,5
selo,EmpSem,AT2,5,3,5
selo,EmpSem,AT2,6,3,5
selo,EmpSem,AT3,5,3,5
selo,EmpSem,AT3,6,3,5
