acao,pessoa1,pessoa2,parcela,objeto,tipo_preco,rodada,jogo
venda/aluguel,EmpSem,AT2,1,Soja,normal,1,5
venda/aluguel,EmpFer,AT2,1,Premium,normal,1,5
venda/aluguel,EmpAgr,AT2,1,Super premium,normal,1,5
venda/aluguel,EmpSem,AT2,2,Soja,normal,1,5
venda/aluguel,EmpFer,AT2,2,Premium,normal,1,5
venda/aluguel,EmpAgr,AT2,2,Super premium,normal,1,5
venda/aluguel,EmpSem,AT2,3,Soja,normal,1,5
venda/aluguel,EmpFer,AT2,3,Premium,normal,1,5
venda/aluguel,EmpAgr,AT2,3,Super premium,normal,1,5
venda/aluguel,EmpSem,AT2,4,Soja,normal,1,5
venda/aluguel,EmpFer,AT2,4,Premium,normal,1,5
venda/aluguel,EmpAgr,AT2,4,Super premium,normal,1,5
venda/aluguel,EmpSem,AT2,5,Soja,normal,1,5
venda/aluguel,EmpFer,AT2,5,Premium,normal,1,5
venda/aluguel,EmpAgr,AT2,5,Super premium,normal,1,5
venda/aluguel,EmpSem,AT2,6,Soja,normal,1,5
venda/aluguel,EmpFer,AT2,6,Premium,normal,1,5
venda/aluguel,EmpAgr,AT2,6,Super premium,normal,1,5
venda/aluguel,EmpSem,CD3,1,Soja,baixo,1,5
venda/aluguel,EmpFer,CD3,1,Super premium,baixo,1,5
venda/aluguel,EmpMaq,CD3,1,Maquinas 3,baixo,1,5
venda/aluguel,EmpSem,CD3,2,Soja,baixo,1,5
venda/aluguel,EmpFer,CD3,2,Super premium,baixo,1,5
venda/aluguel,EmpMaq,CD3,2,Maquinas 3,baixo,1,5
venda/aluguel,EmpSem,CD3,3,Soja,baixo,1,5
venda/aluguel,EmpFer,CD3,3,Super premium,baixo,1,5
venda/aluguel,EmpMaq,CD3,3,Maquinas 3,baixo,1,5
venda/aluguel,EmpSem,CD3,4,Soja,normal,1,5
venda/aluguel,EmpFer,CD3,4,Super premium,baixo,1,5
venda/aluguel,EmpMaq,CD3,4,Maquinas 3,baixo,1,5
venda/aluguel,EmpSem,CD3,5,Soja,normal,1,5
venda/aluguel,EmpFer,CD3,5,Super premium,baixo,1,5
venda/aluguel,EmpMaq,CD3,5,Maquinas 3,baixo,1,5
venda/aluguel,EmpSem,CD3,6,Soja,normal,1,5
venda/aluguel,EmpFer,CD3,6,Super premium,baixo,1,5
venda/aluguel,EmpMaq,CD3,6,Maquinas 3,baixo,1,5
venda/aluguel,EmpSem,CD1,1,Arroz,alto,1,5
venda/aluguel,EmpFer,CD1,1,Comum,baixo,1,5
venda/aluguel,EmpSem,CD1,2,Arroz,alto,1,5
