acao,pessoa1,pessoa2,selo,rodada,jogo
selo,AgCD1|FiscalCD,AgCD2|VereadorCD,1,1,8
selo,AgCD1|FiscalCD,AgCD2|VereadorCD,2,1,8
selo,AgCD1|FiscalCD,AgCD2|VereadorCD,3,1,8
selo,AgCD1|FiscalCD,AgCD2|VereadorCD,4,1,8
selo,AgCD1|FiscalCD,AgCD2|VereadorCD,5,1,8
selo,AgCD1|FiscalCD,AgCD2|VereadorCD,6,1,8
selo,AgAT2|FiscalAT,AgAT2|FiscalAT,4,1,8
selo,AgAT2|FiscalAT,AgAT2|FiscalAT,6,2,8
selo,AgAT2|FiscalAT,AgAT2|FiscalAT,4,3,8
selo,AgAT2|FiscalAT,AgAT2|FiscalAT,6,3,8
selo,AgCD1|FiscalCD,AgCD1|FiscalCD,4,3,8
selo,AgCD1|FiscalCD,AgCD1|FiscalCD,5,3,8
selo,AgCD1|FiscalCD,AgCD1|FiscalCD,6,3,8
selo,AgAT2|FiscalAT,AgAT2|FiscalAT,5,4,8
selo,AgAT2|FiscalAT,AgAT2|FiscalAT,6,4,8
selo,AgAT2|FiscalAT,AgAT2|FiscalAT,4,5,8
selo,AgAT2|FiscalAT,AgAT2|FiscalAT,6,5,8
