acao	pessoa1	tratamento	rodada	jogo
tratamento	prefeito EmpMaq	Lixo	1	4
tratamento	prefeito EmpMaq	Agua	2	4
tratamento	prefeito EmpMaq	Esgoto	2	4
tratamento	prefeito CD1	Lixo	2	4
tratamento	prefeito CD1	Agua	3	4
tratamento	prefeito CD1	Esgoto	3	4
tratamento	prefeito EmpSem	Agua	3	4
tratamento	prefeito EmpSem	Lixo	3	4
tratamento	prefeito EmpSem	Esgoto	3	4
tratamento	prefeito EmpSem	Agua	4	4
tratamento	prefeito CD1	Lixo	4	4
tratamento	prefeito CD2	Agua	1	3
tratamento	prefeito AT1	Lixo	1	3
tratamento	prefeito AT1	Lixo	2	3
tratamento	prefeito CD2	Lixo	2	3
tratamento	prefeito CD2	Esgoto	2	3
tratamento	prefeito CD2	Agua	3	3
tratamento	prefeito AT1	Agua	4	3
tratamento	prefeito AT1	Esgoto	5	3
tratamento	prefeito EmpAgr	Agua	1	2
tratamento	prefeito AT2	Agua	2	2
tratamento	prefeito EmpAgr	Lixo	2	2
tratamento	prefeito EmpAgr	Agua	3	2
