acao	pessoa1	pessoa2	selo	rodada	jogo
selo	CD2	CD1	1	1	4
selo	CD2	CD1	2	1	4
selo	CD2	CD1	3	1	4
selo	CD2	CD1	4	1	4
selo	CD2	CD1	5	1	4
selo	CD2	CD1	6	1	4
selo	CD2	CD2	1	1	4
selo	CD2	CD2	2	1	4
selo	CD2	CD2	3	1	4
selo	CD2	CD2	4	1	4
selo	CD2	CD2	5	1	4
selo	CD2	CD2	6	1	4
selo	EmpSem	AT1	1	2	4
selo	EmpSem	AT1	2	2	4
selo	EmpSem	AT1	3	2	4
selo	EmpSem	AT1	4	2	4
selo	EmpSem	AT1	5	2	4
selo	EmpSem	AT1	6	2	4
selo	EmpSem	AT3	1	2	4
selo	EmpSem	AT3	2	2	4
selo	EmpSem	AT3	3	2	4
selo	EmpSem	AT3	4	2	4
selo	EmpSem	AT3	5	2	4
selo	EmpSem	AT3	6	2	4
selo	CD2	CD3	1	2	4
selo	CD2	CD3	2	2	4
selo	CD2	CD3	3	2	4
selo	CD2	CD3	4	2	4
selo	CD2	CD3	5	2	4
selo	CD2	CD3	6	2	4
selo	CD3	CD3	1	1	3
selo	CD3	CD3	2	1	3
selo	CD3	CD3	3	1	3
selo	CD3	CD3	4	1	3
selo	CD3	CD3	5	1	3
selo	CD3	CD3	6	1	3
selo	CD3	CD2	5	1	3
selo	CD3	CD2	6	1	3
selo	CD3	CD1	1	1	3
selo	CD3	CD1	2	1	3
selo	CD3	CD1	3	1	3
selo	CD3	CD1	4	1	3
selo	CD3	CD1	5	1	3
selo	CD3	CD1	6	1	3
selo	AT2	AT2	6	1	3
selo	CD3	CD2	1	2	3
selo	CD3	CD2	2	2	3
selo	CD3	CD2	3	2	3
selo	CD3	CD2	4	2	3
selo	CD3	CD2	5	2	3
selo	CD3	CD2	6	2	3
selo	CD3	CD3	1	2	3
selo	CD3	CD3	2	2	3
selo	CD3	CD3	3	2	3
selo	CD3	CD3	4	2	3
selo	CD3	CD3	5	2	3
selo	CD3	CD3	6	2	3
selo	CD3	CD2	1	3	3
selo	CD3	CD2	2	3	3
selo	CD3	CD2	3	3	3
selo	CD3	CD2	4	3	3
selo	CD3	CD2	5	3	3
selo	CD3	CD2	6	3	3
selo	CD3	CD3	1	3	3
selo	CD3	CD3	2	3	3
selo	CD3	CD3	3	3	3
selo	CD3	CD3	4	3	3
selo	CD3	CD3	5	3	3
selo	CD3	CD3	6	3	3
selo	CD3	CD2	1	4	3
selo	CD3	CD2	2	4	3
selo	CD3	CD2	3	4	3
selo	CD3	CD2	4	4	3
selo	CD3	CD2	5	4	3
selo	CD3	CD2	6	4	3
selo	CD3	CD3	1	4	3
selo	CD3	CD3	2	4	3
selo	CD3	CD3	3	4	3
selo	CD3	CD3	4	4	3
selo	CD3	CD3	5	4	3
selo	CD3	CD3	6	4	3
selo	EmpFer	CD2	6	1	2
selo	EmpFer	CD1	6	1	2
selo	EmpFer	CD2	1	2	2
selo	EmpFer	CD2	2	2	2
selo	EmpFer	CD2	3	2	2
selo	EmpFer	CD2	4	2	2
selo	EmpFer	CD2	5	2	2
selo	EmpFer	CD2	6	2	2
selo	EmpFer	CD3	1	2	2
selo	EmpFer	CD3	2	2	2
selo	EmpFer	CD3	3	2	2
selo	EmpFer	CD3	4	2	2
selo	EmpFer	CD3	5	2	2
selo	EmpFer	CD3	6	2	2
selo	AT3	AT1	1	2	2
selo	AT3	AT1	2	2	2
selo	AT3	AT1	3	2	2
selo	AT3	AT1	4	2	2
selo	AT3	AT1	5	2	2
selo	AT3	AT1	6	2	2
selo	AT3	AT3	1	2	2
selo	AT3	AT3	2	2	2
selo	AT3	AT3	3	2	2
selo	AT3	AT3	4	2	2
selo	AT3	AT3	5	2	2
selo	AT3	AT3	6	2	2
