acao	pessoa1	pessoa2	parcela	objeto	tipo_preco	rodada	jogo
venda/aluguel	EmpSem	AT1	1	Soja	baixo	1	4
venda/aluguel	EmpFer	AT1	1	Super premium	baixo	1	4
venda/aluguel	EmpMaq	AT1	1	Maquinas 3	baixo	1	4
venda/aluguel	EmpSem	AT1	2	Soja	baixo	1	4
venda/aluguel	EmpFer	AT1	2	Super premium	baixo	1	4
venda/aluguel	EmpMaq	AT1	2	Maquinas 3	baixo	1	4
venda/aluguel	EmpSem	AT1	3	Soja	baixo	1	4
venda/aluguel	EmpFer	AT1	3	Super premium	baixo	1	4
venda/aluguel	EmpMaq	AT1	3	Maquinas 3	baixo	1	4
venda/aluguel	EmpSem	AT1	4	Soja	baixo	1	4
venda/aluguel	EmpFer	AT1	4	Super premium	baixo	1	4
venda/aluguel	EmpMaq	AT1	4	Maquinas 3	baixo	1	4
venda/aluguel	EmpSem	AT1	5	Soja	baixo	1	4
venda/aluguel	EmpFer	AT1	5	Super premium	normal	1	4
venda/aluguel	EmpMaq	AT1	5	Maquinas 3	baixo	1	4
venda/aluguel	EmpSem	AT1	6	Soja	baixo	1	4
venda/aluguel	EmpFer	AT1	6	Super premium	normal	1	4
venda/aluguel	EmpMaq	AT1	6	Maquinas 3	baixo	1	4
venda/aluguel	EmpSem	AT2	1	Soja	normal	1	4
venda/aluguel	EmpFer	AT2	1	Premium	baixo	1	4
venda/aluguel	EmpAgr	AT2	1	Comum	normal	1	4
venda/aluguel	EmpSem	AT2	2	Soja	normal	1	4
venda/aluguel	EmpFer	AT2	2	Premium	baixo	1	4
venda/aluguel	EmpAgr	AT2	2	Comum	normal	1	4
venda/aluguel	EmpSem	AT2	3	Arroz	baixo	1	4
venda/aluguel	EmpFer	AT2	3	Premium	baixo	1	4
venda/aluguel	EmpAgr	AT2	3	Comum	normal	1	4
venda/aluguel	EmpSem	AT2	4	Arroz	baixo	1	4
venda/aluguel	EmpFer	AT2	4	Premium	normal	1	4
venda/aluguel	EmpSem	AT2	5	Hortalica	baixo	1	4
venda/aluguel	EmpFer	AT2	5	Premium	normal	1	4
venda/aluguel	EmpSem	AT2	6	Hortalica	baixo	1	4
venda/aluguel	EmpFer	AT2	6	Premium	normal	1	4
venda/aluguel	EmpSem	CD2	1	Arroz	baixo	1	4
venda/aluguel	EmpFer	CD2	1	Premium	baixo	1	4
venda/aluguel	EmpMaq	CD2	1	Maquinas 2	baixo	1	4
venda/aluguel	EmpSem	CD2	2	Arroz	baixo	1	4
venda/aluguel	EmpFer	CD2	2	Premium	baixo	1	4
venda/aluguel	EmpMaq	CD2	2	Maquinas 2	baixo	1	4
venda/aluguel	EmpSem	CD2	3	Arroz	baixo	1	4
venda/aluguel	EmpFer	CD2	3	Premium	baixo	1	4
venda/aluguel	EmpMaq	CD2	3	Maquinas 2	baixo	1	4
venda/aluguel	EmpSem	CD2	4	Arroz	baixo	1	4
venda/aluguel	EmpFer	CD2	4	Premium	normal	1	4
venda/aluguel	EmpMaq	CD2	4	Maquinas 2	baixo	1	4
venda/aluguel	EmpSem	CD2	5	Arroz	baixo	1	4
venda/aluguel	EmpFer	CD2	5	Premium	normal	1	4
venda/aluguel	EmpMaq	CD2	5	Maquinas 2	baixo	1	4
venda/aluguel	EmpSem	CD2	6	Arroz	baixo	1	4
venda/aluguel	EmpFer	CD2	6	Premium	normal	1	4
venda/aluguel	EmpMaq	CD2	6	Maquinas 2	baixo	1	4
venda/aluguel	EmpSem	AT3	1	Arroz	normal	1	4
venda/aluguel	EmpFer	AT3	1	Premium	normal	1	4
venda/aluguel	EmpMaq	AT3	1	Maquinas 1	baixo	1	4
venda/aluguel	EmpSem	AT3	2	Arroz	normal	1	4
venda/aluguel	EmpFer	AT3	2	Premium	normal	1	4
venda/aluguel	EmpMaq	AT3	2	Maquinas 1	baixo	1	4
venda/aluguel	EmpSem	AT3	3	Arroz	normal	1	4
venda/aluguel	EmpFer	AT3	3	Premium	normal	1	4
venda/aluguel	EmpMaq	AT3	3	Maquinas 1	baixo	1	4
venda/aluguel	EmpSem	AT3	4	Arroz	normal	1	4
venda/aluguel	EmpFer	AT3	4	Premium	baixo	1	4
venda/aluguel	EmpMaq	AT3	4	Maquinas 1	baixo	1	4
venda/aluguel	EmpSem	AT3	5	Arroz	normal	1	4
venda/aluguel	EmpFer	AT3	5	Premium	baixo	1	4
venda/aluguel	EmpMaq	AT3	5	Maquinas 1	baixo	1	4
venda/aluguel	EmpSem	AT3	6	Arroz	normal	1	4
