acao,cidade,personagem,tipo_taxa,valor,rodada,jogo
taxa,Atlantis,AgAT2|PrefeitoAT,1,10,1,6
taxa,Atlantis,AgAT2|PrefeitoAT,2,10%,1,6
taxa,Atlantis,AgAT2|PrefeitoAT,3,30%,1,6
taxa,Cidadela,AgCD3|PrefeitoCD,1,10,1,6
taxa,Cidadela,AgCD3|PrefeitoCD,2,10%,1,6
taxa,Cidadela,AgCD3|PrefeitoCD,3,30%,1,6
taxa,Atlantis,AgAT2|PrefeitoAT,1,10,2,6
taxa,Atlantis,AgAT2|PrefeitoAT,2,10%,2,6
taxa,Atlantis,AgAT2|PrefeitoAT,3,25%,2,6
taxa,Cidadela,AgCD3|PrefeitoCD,1,10,2,6
taxa,Cidadela,AgCD3|PrefeitoCD,2,10%,2,6
taxa,Cidadela,AgCD3|PrefeitoCD,3,30%,2,6
taxa,Cidadela,AgCD3|PrefeitoCD,1,10,3,6
taxa,Cidadela,AgCD3|PrefeitoCD,2,10%,3,6
taxa,Cidadela,AgCD3|PrefeitoCD,3,25%,3,6
taxa,Atlantis,AgAT2|PrefeitoAT,1,10,3,6
taxa,Atlantis,AgAT2|PrefeitoAT,2,10%,3,6
taxa,Atlantis,AgAT2|PrefeitoAT,3,30%,3,6
taxa,Cidadela,AgCD3|PrefeitoCD,1,10,4,6
taxa,Cidadela,AgCD3|PrefeitoCD,2,15%,4,6
taxa,Cidadela,AgCD3|PrefeitoCD,3,30%,4,6
taxa,Atlantis,AgAT2|PrefeitoAT,1,10,4,6
taxa,Atlantis,AgAT2|PrefeitoAT,2,10%,4,6
taxa,Atlantis,AgAT2|PrefeitoAT,3,25%,4,6
