acao,pessoa1,pessoa2,valor,rodada,jogo
imposto,EmpSem|PrefeitoAT,EmpSem|PrefeitoAT,127.5,1,7
imposto,AgCD2|PrefeitoCD,EmpFert,438.0,1,7
imposto,EmpSem|PrefeitoAT,EmpMaq|VereadorAT,333.0,1,7
imposto,AgCD2|PrefeitoCD,EmpAgro|VereadorCD,6.0,1,7
imposto,EmpSem|PrefeitoAT,AgAT1|FiscalAT,216.0,1,7
imposto,AgCD2|PrefeitoCD,AgCD1|FiscalCD,72.0,1,7
imposto,EmpSem|PrefeitoAT,AgAT2,72.0,1,7
imposto,AgCD2|PrefeitoCD,AgCD2|PrefeitoCD,276.0,1,7
imposto,EmpSem|PrefeitoAT,AgAT3,396.0,1,7
imposto,AgCD2|PrefeitoCD,AgCD3,234.0,1,7
imposto,EmpSem|PrefeitoAT,EmpSem|PrefeitoAT,165.0,2,7
imposto,AgCD2|PrefeitoCD,EmpFert,441.0,2,7
imposto,EmpSem|PrefeitoAT,EmpMaq|VereadorAT,462.0,2,7
imposto,AgCD2|PrefeitoCD,EmpAgro|VereadorCD,6.5,2,7
imposto,EmpSem|PrefeitoAT,AgAT1|FiscalAT,"2,22299999999999E+016",2,7
imposto,AgCD2|PrefeitoCD,AgCD1|FiscalCD,57.0,2,7
imposto,EmpSem|PrefeitoAT,AgAT2,51.3,2,7
imposto,AgCD2|PrefeitoCD,AgCD2|PrefeitoCD,51.0,2,7
imposto,EmpSem|PrefeitoAT,AgAT3,102.6,2,7
imposto,AgCD2|PrefeitoCD,AgCD3,282.15,2,7
imposto,EmpSem|PrefeitoAT,EmpSem|PrefeitoAT,201.25,3,7
imposto,AgCD2|PrefeitoCD,EmpFert,612.0,3,7
imposto,EmpSem|PrefeitoAT,EmpMaq|VereadorAT,1396.5,3,7
imposto,AgCD2|PrefeitoCD,EmpAgro|VereadorCD,141.0,3,7
imposto,EmpSem|PrefeitoAT,AgAT1|FiscalAT,"5,03999999999999E+016",3,7
imposto,AgCD2|PrefeitoCD,AgCD1|FiscalCD,6839999999999990,3,7
imposto,EmpSem|PrefeitoAT,AgAT2,1197.0,3,7
imposto,AgCD2|PrefeitoCD,AgCD2|PrefeitoCD,256.5,3,7
imposto,EmpSem|PrefeitoAT,AgAT3,691.6,3,7
imposto,AgCD2|PrefeitoCD,AgCD3,"5,01599999999999E+016",3,7
imposto,EmpSem|PrefeitoAT,EmpSem|PrefeitoAT,257.25,4,7
imposto,AgCD2|PrefeitoCD,EmpFert,789.0,4,7
imposto,EmpSem|PrefeitoAT,EmpMaq|VereadorAT,1244.25,4,7
imposto,AgCD2|PrefeitoCD,EmpAgro|VereadorCD,9.0,4,7
imposto,EmpSem|PrefeitoAT,AgAT1|FiscalAT,798.0,4,7
imposto,AgCD2|PrefeitoCD,AgCD1|FiscalCD,153.9,4,7
imposto,EmpSem|PrefeitoAT,AgAT2,798.0,4,7
imposto,AgCD2|PrefeitoCD,AgCD2|PrefeitoCD,396.0,4,7
imposto,EmpSem|PrefeitoAT,AgAT3,798.0,4,7
imposto,AgCD2|PrefeitoCD,AgCD3,720.0,4,7
imposto,EmpSem|PrefeitoAT,EmpSem|PrefeitoAT,204.75,5,7
imposto,AgCD2|PrefeitoCD,EmpFert,603.0,5,7
imposto,EmpSem|PrefeitoAT,EmpMaq|VereadorAT,"9,13499999999999E+015",5,7
imposto,AgCD2|PrefeitoCD,EmpAgro|VereadorCD,18.0,5,7
imposto,EmpSem|PrefeitoAT,AgAT1|FiscalAT,798.0,5,7
imposto,AgCD2|PrefeitoCD,AgCD1|FiscalCD,"1,70999999999999E+016",5,7
imposto,EmpSem|PrefeitoAT,AgAT2,840.0,5,7
imposto,AgCD2|PrefeitoCD,AgCD2|PrefeitoCD,"3,59099999999999E+016",5,7
imposto,EmpSem|PrefeitoAT,AgAT3,1330.0,5,7
imposto,AgCD2|PrefeitoCD,AgCD3,513.0,5,7
