acao,cidade,personagem,tipo_taxa,valor,rodada,jogo
taxa,Atlantis,,1,10,1,8
taxa,Atlantis,,2,10%,1,8
taxa,Atlantis,,3,30%,1,8
taxa,Atlantis,,1,10,2,8
taxa,Atlantis,,2,10%,2,8
taxa,Atlantis,,3,30%,2,8
taxa,Atlantis,,1,10,3,8
taxa,Atlantis,,2,10%,3,8
taxa,Atlantis,,3,25%,3,8
taxa,Atlantis,,1,10,4,8
taxa,Atlantis,,2,10%,4,8
taxa,Atlantis,,3,25%,4,8
taxa,Atlantis,,1,10,5,8
taxa,Atlantis,,2,10%,5,8
taxa,Atlantis,,3,25%,5,8
taxa,Cidadela,,1,10,1,8
taxa,Cidadela,,2,10%,1,8
taxa,Cidadela,,3,30%,1,8
taxa,Cidadela,,1,10,2,8
taxa,Cidadela,,2,10%,2,8
taxa,Cidadela,,3,30%,2,8
taxa,Cidadela,,1,15,3,8
taxa,Cidadela,,2,15%,3,8
taxa,Cidadela,,3,35%,3,8
taxa,Cidadela,,1,15,4,8
taxa,Cidadela,,2,15%,4,8
taxa,Cidadela,,3,35%,4,8
taxa,Cidadela,,1,5,5,8
taxa,Cidadela,,2,5%,5,8
taxa,Cidadela,,3,25%,5,8
