acao,pessoa1,pessoa2,valor3,rodada,jogo
multa,AgCD2|FiscalCD,AgCD2|FiscalCD,125.0,1,9
multa,AgCD2|FiscalCD,EmpFert|VereadorCD,318.0,1,9
multa,EmpSem|FiscalAT,AgAT3|VereadorAT,110.0,1,9
multa,EmpSem|FiscalAT,EmpMaq|PrefeitoAT,124.0,1,9
multa,AgCD2|FiscalCD,AgCD1|PrefeitoCD,0.0,2,9
multa,AgCD2|FiscalCD,EmpFert|VereadorCD,144.0,2,9
multa,AgCD2|FiscalCD,EmpAgro,6.0,2,9
multa,AgCD2|FiscalCD,AgCD2|FiscalCD,45.0,2,9
multa,AgCD2|FiscalCD,AgCD3,60.0,2,9
multa,EmpSem|FiscalAT,AgAT3|VereadorAT,330.0,2,9
multa,EmpSem|FiscalAT,EmpMaq|PrefeitoAT,246.0,2,9
multa,EmpSem|FiscalAT,EmpMaq|PrefeitoAT,117.0,3,9
multa,EmpAgro|FiscalCD,AgCD3,900.0,4,9
multa,EmpSem|FiscalAT,EmpMaq|PrefeitoAT,486.0,4,9
multa,EmpSem|FiscalAT,AgAT1,90.0,4,9
multa,EmpSem|FiscalAT,AgAT2|VereadorAT,90.0,4,9
multa,EmpSem|FiscalAT,AgAT3,900.0,4,9
