@RELATION dataset

@ATTRIBUTE acao {venda,aluguel,tratamento,imposto,multa,selo,transferencia,novaTaxa}
@ATTRIBUTE pessoa1 {EmpAgr,EmpFer,EmpMaq,EmpSem,AT1,AT2,AT3,CD1,CD2,CD3,PrefeitoAT,PrefeitoCD,FiscalAT,FiscalCD}
@ATTRIBUTE pessoa2 {EmpAgr,EmpFer,EmpMaq,EmpSem,AT1,AT2,AT3,CD1,CD2,CD3,PrefeitoAT,PrefeitoCD,FiscalAT,FiscalCD}
@ATTRIBUTE parcela INTEGER [1,6]
@ATTRIBUTE objeto {Soja,Hortalica,Arroz,SuperPremium,Premium,Comum,Maquinas1,Maquinas2,Maquinas3,Pulverizador}
@ATTRIBUTE tipo_preco {baixo,normal,alto}
@ATTRIBUTE rodada REAL
@ATTRIBUTE jogo REAL
@ATTRIBUTE saldo_CD1 REAL
@ATTRIBUTE saldo_CD2 REAL
@ATTRIBUTE saldo_CD3 REAL
@ATTRIBUTE saldo_AT1 REAL
@ATTRIBUTE saldo_AT2 REAL
@ATTRIBUTE saldo_AT3 REAL
@ATTRIBUTE saldo_EmpAgr REAL
@ATTRIBUTE saldo_EmpFer REAL
@ATTRIBUTE saldo_EmpMaq REAL
@ATTRIBUTE saldo_EmpSem REAL
@ATTRIBUTE saldo_FiscalAT REAL
@ATTRIBUTE saldo_FiscalCD REAL
@ATTRIBUTE saldo_PrefeitoAT REAL
@ATTRIBUTE saldo_PrefeitoCD REAL
@ATTRIBUTE poluicao_mundial REAL
@ATTRIBUTE selo INTEGER [1,6]
@ATTRIBUTE prox_taxa REAL
@ATTRIBUTE val_taxa REAL
@ATTRIBUTE tratamento {Agua,Esgoto,Lixo}

@DATA
venda,EmpSem,AT1,1.0,Soja,baixo,1,2,600.0,600.0,600.0,585.0,600.0,600.0,100.0,100.0,100.0,125.0,0.0,0.0,1000.0,1000.0,50.33,?,?,?,?
venda,EmpAgr,AT1,1.0,SuperPremium,baixo,1,2,600.0,600.0,600.0,670.0,600.0,600.0,125.0,100.0,100.0,125.0,0.0,0.0,1000.0,1000.0,53.04,?,?,?,?
venda,EmpSem,AT1,2.0,Soja,baixo,1,2,600.0,600.0,600.0,655.0,600.0,600.0,125.0,100.0,100.0,150.0,0.0,0.0,1000.0,1000.0,53.37,?,?,?,?
venda,EmpAgr,AT1,2.0,SuperPremium,baixo,1,2,600.0,600.0,600.0,740.0,600.0,600.0,150.0,100.0,100.0,150.0,0.0,0.0,1000.0,1000.0,56.08,?,?,?,?
venda,EmpSem,AT1,3.0,Soja,baixo,1,2,600.0,600.0,600.0,725.0,600.0,600.0,150.0,100.0,100.0,175.0,0.0,0.0,1000.0,1000.0,56.41,?,?,?,?
venda,EmpAgr,AT1,3.0,SuperPremium,baixo,1,2,600.0,600.0,600.0,810.0,600.0,600.0,175.0,100.0,100.0,175.0,0.0,0.0,1000.0,1000.0,59.12,?,?,?,?
venda,EmpSem,AT1,4.0,Soja,baixo,1,2,600.0,600.0,600.0,795.0,600.0,600.0,175.0,100.0,100.0,200.0,0.0,0.0,1000.0,1000.0,59.44999999999999,?,?,?,?
venda,EmpAgr,AT1,4.0,SuperPremium,baixo,1,2,600.0,600.0,600.0,880.0,600.0,600.0,200.0,100.0,100.0,200.0,0.0,0.0,1000.0,1000.0,62.16,?,?,?,?
venda,EmpSem,AT1,5.0,Soja,baixo,1,2,600.0,600.0,600.0,865.0,600.0,600.0,200.0,100.0,100.0,225.0,0.0,0.0,1000.0,1000.0,62.48999999999999,?,?,?,?
venda,EmpAgr,AT1,5.0,SuperPremium,baixo,1,2,600.0,600.0,600.0,950.0,600.0,600.0,225.0,100.0,100.0,225.0,0.0,0.0,1000.0,1000.0,65.19999999999999,?,?,?,?
