	acao	pessoa1	pessoa2	parcela	objeto	tipo_preco	rodada	jogo	saldo_AgCD1	saldo_AgCD2	saldo_AgCD3	saldo_AgAT1	saldo_AgAT2	saldo_AgAT3	saldo_EmpAgro	saldo_EmpFert	saldo_EmpMaq	saldo_EmpSem	saldo_FiscalAT	saldo_FiscalCD	saldo_PrefeitoAT	saldo_PrefeitoCD	poluicao_mundial	selo	prox_taxa	val_taxa	tratamento	etapa_1	etapa_2	sentimento
0	venda	EmpSem|FiscalAT	AgAT2|VereadorAT	1.0	Soja	normal	1	5	600.0	600.0	600.0	600.0	560.0	600.0	100.0	100.0	100.0	160.0	0.0	0.0	1000.0	1000.0	20.66							"nojo
"
1	venda	EmpFert	AgAT2|VereadorAT	1.0	Premium	normal	1	5	600.0	600.0	600.0	600.0	610.0	600.0	100.0	120.0	100.0	160.0	0.0	0.0	1000.0	1000.0	22.18							"tristeza
"
2	venda	EmpAgro	AgAT2|VereadorAT	1.0	Super premium	normal	1	5	600.0	600.0	600.0	600.0	710.0	600.0	130.0	120.0	100.0	160.0	0.0	0.0	1000.0	1000.0	24.89							"alegria
"
3	venda	EmpSem|FiscalAT	AgAT2|VereadorAT	2.0	Soja	normal	1	5	600.0	600.0	600.0	600.0	690.0	600.0	130.0	120.0	100.0	190.0	0.0	0.0	1000.0	1000.0	25.220000000000002							"nojo
"
4	venda	EmpFert	AgAT2|VereadorAT	2.0	Premium	normal	1	5	600.0	600.0	600.0	600.0	740.0	600.0	130.0	140.0	100.0	190.0	0.0	0.0	1000.0	1000.0	26.740000000000002							"tristeza
"
5	venda	EmpAgro	AgAT2|VereadorAT	2.0	Super premium	normal	1	5	600.0	600.0	600.0	600.0	840.0	600.0	160.0	140.0	100.0	190.0	0.0	0.0	1000.0	1000.0	29.450000000000003							"alegria
"
6	venda	EmpSem|FiscalAT	AgAT2|VereadorAT	3.0	Soja	normal	1	5	600.0	600.0	600.0	600.0	820.0	600.0	160.0	140.0	100.0	220.0	0.0	0.0	1000.0	1000.0	29.78000000000001							"nojo
"
7	venda	EmpFert	AgAT2|VereadorAT	3.0	Premium	normal	1	5	600.0	600.0	600.0	600.0	870.0	600.0	160.0	160.0	100.0	220.0	0.0	0.0	1000.0	1000.0	31.300000000000004							"tristeza
"
8	venda	EmpAgro	AgAT2|VereadorAT	3.0	Super premium	normal	1	5	600.0	600.0	600.0	600.0	970.0	600.0	190.0	160.0	100.0	220.0	0.0	0.0	1000.0	1000.0	34.010000000000005							"alegria
"
9	venda	EmpSem|FiscalAT	AgAT2|VereadorAT	4.0	Soja	normal	1	5	600.0	600.0	600.0	600.0	950.0	600.0	190.0	160.0	100.0	250.0	0.0	0.0	1000.0	1000.0	34.34000000000001							"nojo
"
10	venda	EmpFert	AgAT2|VereadorAT	4.0	Premium	normal	1	5	600.0	600.0	600.0	600.0	1000.0	600.0	190.0	180.0	100.0	250.0	0.0	0.0	1000.0	1000.0	35.86000000000001							"tristeza
"
11	venda	EmpAgro	AgAT2|VereadorAT	4.0	Super premium	normal	1	5	600.0	600.0	600.0	600.0	1100.0	600.0	220.0	180.0	100.0	250.0	0.0	0.0	1000.0	1000.0	38.57000000000001							"alegria
"
12	venda	EmpSem|FiscalAT	AgAT2|VereadorAT	5.0	Soja	normal	1	5	600.0	600.0	600.0	600.0	1080.0	600.0	220.0	180.0	100.0	280.0	0.0	0.0	1000.0	1000.0	38.90000000000001							"nojo
"
13	venda	EmpFert	AgAT2|VereadorAT	5.0	Premium	normal	1	5	600.0	600.0	600.0	600.0	1130.0	600.0	220.0	200.0	100.0	280.0	0.0	0.0	1000.0	1000.0	40.42000000000001							"tristeza
"
14	venda	EmpAgro	AgAT2|VereadorAT	5.0	Super premium	normal	1	5	600.0	600.0	600.0	600.0	1230.0	600.0	250.0	200.0	100.0	280.0	0.0	0.0	1000.0	1000.0	43.13000000000001							"alegria
"
15	venda	EmpSem|FiscalAT	AgAT2|VereadorAT	6.0	Soja	normal	1	5	600.0	600.0	600.0	600.0	1210.0	600.0	250.0	200.0	100.0	310.0	0.0	0.0	1000.0	1000.0	43.46000000000001							"nojo
"
16	venda	EmpFert	AgAT2|VereadorAT	6.0	Premium	normal	1	5	600.0	600.0	600.0	600.0	1260.0	600.0	250.0	220.0	100.0	310.0	0.0	0.0	1000.0	1000.0	44.98000000000001							"tristeza
"
17	venda	EmpAgro	AgAT2|VereadorAT	6.0	Super premium	normal	1	5	600.0	600.0	600.0	600.0	1360.0	600.0	280.0	220.0	100.0	310.0	0.0	0.0	1000.0	1000.0	47.69000000000001							"alegria
"
18	venda	EmpSem|FiscalAT	AgCD3|FiscalCD	1.0	Soja	baixo	1	5	600.0	600.0	585.0	600.0	1360.0	600.0	280.0	220.0	100.0	335.0	0.0	0.0	1000.0	1000.0	48.02000000000001							"alegria
"
19	venda	EmpFert	AgCD3|FiscalCD	1.0	Super premium	baixo	1	5	600.0	600.0	670.0	600.0	1360.0	600.0	280.0	245.0	100.0	335.0	0.0	0.0	1000.0	1000.0	50.73000000000001							"alegria
"
20	venda	EmpMaq|PrefeitoAT	AgCD3|FiscalCD	1.0	Maquinas 3	baixo	1	5	600.0	600.0	775.0	600.0	1360.0	600.0	280.0	245.0	125.0	335.0	0.0	0.0	1000.0	1000.0	53.44000000000001							"alegria
"
21	venda	EmpSem|FiscalAT	AgCD3|FiscalCD	2.0	Soja	baixo	1	5	600.0	600.0	760.0	600.0	1360.0	600.0	280.0	245.0	125.0	360.0	0.0	0.0	1000.0	1000.0	53.77000000000001							"alegria
"
22	venda	EmpFert	AgCD3|FiscalCD	2.0	Super premium	baixo	1	5	600.0	600.0	845.0	600.0	1360.0	600.0	280.0	270.0	125.0	360.0	0.0	0.0	1000.0	1000.0	56.48000000000001							"alegria
"
23	venda	EmpMaq|PrefeitoAT	AgCD3|FiscalCD	2.0	Maquinas 3	baixo	1	5	600.0	600.0	950.0	600.0	1360.0	600.0	280.0	270.0	150.0	360.0	0.0	0.0	1000.0	1000.0	59.19000000000001							"alegria
"
24	venda	EmpSem|FiscalAT	AgCD3|FiscalCD	3.0	Soja	baixo	1	5	600.0	600.0	935.0	600.0	1360.0	600.0	280.0	270.0	150.0	385.0	0.0	0.0	1000.0	1000.0	59.52							"alegria
"
25	venda	EmpFert	AgCD3|FiscalCD	3.0	Super premium	baixo	1	5	600.0	600.0	1020.0	600.0	1360.0	600.0	280.0	295.0	150.0	385.0	0.0	0.0	1000.0	1000.0	62.230000000000004							"alegria
"
26	venda	EmpMaq|PrefeitoAT	AgCD3|FiscalCD	3.0	Maquinas 3	baixo	1	5	600.0	600.0	1125.0	600.0	1360.0	600.0	280.0	295.0	175.0	385.0	0.0	0.0	1000.0	1000.0	64.94000000000001							"alegria
"
27	venda	EmpSem|FiscalAT	AgCD3|FiscalCD	4.0	Soja	normal	1	5	600.0	600.0	1105.0	600.0	1360.0	600.0	280.0	295.0	175.0	415.0	0.0	0.0	1000.0	1000.0	65.27000000000001							"alegria
"
28	venda	EmpFert	AgCD3|FiscalCD	4.0	Super premium	baixo	1	5	600.0	600.0	1190.0	600.0	1360.0	600.0	280.0	320.0	175.0	415.0	0.0	0.0	1000.0	1000.0	67.98							"alegria
"
29	venda	EmpMaq|PrefeitoAT	AgCD3|FiscalCD	4.0	Maquinas 3	baixo	1	5	600.0	600.0	1295.0	600.0	1360.0	600.0	280.0	320.0	200.0	415.0	0.0	0.0	1000.0	1000.0	70.69000000000001							"alegria
"
30	venda	EmpSem|FiscalAT	AgCD3|FiscalCD	5.0	Soja	normal	1	5	600.0	600.0	1275.0	600.0	1360.0	600.0	280.0	320.0	200.0	445.0	0.0	0.0	1000.0	1000.0	71.02000000000001							"alegria
"
31	venda	EmpFert	AgCD3|FiscalCD	5.0	Super premium	baixo	1	5	600.0	600.0	1360.0	600.0	1360.0	600.0	280.0	345.0	200.0	445.0	0.0	0.0	1000.0	1000.0	73.73							"alegria
"
32	venda	EmpMaq|PrefeitoAT	AgCD3|FiscalCD	5.0	Maquinas 3	baixo	1	5	600.0	600.0	1465.0	600.0	1360.0	600.0	280.0	345.0	225.0	445.0	0.0	0.0	1000.0	1000.0	76.44000000000001							"alegria
"
33	venda	EmpSem|FiscalAT	AgCD3|FiscalCD	6.0	Soja	normal	1	5	600.0	600.0	1445.0	600.0	1360.0	600.0	280.0	345.0	225.0	475.0	0.0	0.0	1000.0	1000.0	76.77000000000001							"alegria
"
34	venda	EmpFert	AgCD3|FiscalCD	6.0	Super premium	baixo	1	5	600.0	600.0	1530.0	600.0	1360.0	600.0	280.0	370.0	225.0	475.0	0.0	0.0	1000.0	1000.0	79.48							"alegria
"
35	venda	EmpMaq|PrefeitoAT	AgCD3|FiscalCD	6.0	Maquinas 3	baixo	1	5	600.0	600.0	1635.0	600.0	1360.0	600.0	280.0	370.0	250.0	475.0	0.0	0.0	1000.0	1000.0	82.19000000000001							"alegria
"
36	venda	EmpSem|FiscalAT	AgCD1|VereadorCD	1.0	Arroz	alto	1	5	585.0	600.0	1635.0	600.0	1360.0	600.0	280.0	370.0	250.0	500.0	0.0	0.0	1000.0	1000.0	82.41000000000001							"alegria
"
37	venda	EmpFert	AgCD1|VereadorCD	1.0	Comum	baixo	1	5	610.0	600.0	1635.0	600.0	1360.0	600.0	280.0	375.0	250.0	500.0	0.0	0.0	1000.0	1000.0	82.84							"alegria
"
38	venda	EmpSem|FiscalAT	AgCD1|VereadorCD	2.0	Arroz	alto	1	5	595.0	600.0	1635.0	600.0	1360.0	600.0	280.0	375.0	250.0	525.0	0.0	0.0	1000.0	1000.0	83.06							"alegria
"
39	venda	EmpFert	AgCD1|VereadorCD	2.0	Comum	baixo	1	5	620.0	600.0	1635.0	600.0	1360.0	600.0	280.0	380.0	250.0	525.0	0.0	0.0	1000.0	1000.0	83.49							"alegria
"
40	venda	EmpSem|FiscalAT	AgCD1|VereadorCD	3.0	Soja	normal	1	5	600.0	600.0	1635.0	600.0	1360.0	600.0	280.0	380.0	250.0	555.0	0.0	0.0	1000.0	1000.0	83.82							"alegria
"
41	venda	EmpFert	AgCD1|VereadorCD	3.0	Super premium	baixo	1	5	685.0	600.0	1635.0	600.0	1360.0	600.0	280.0	405.0	250.0	555.0	0.0	0.0	1000.0	1000.0	86.53							"alegria
"
42	venda	EmpMaq|PrefeitoAT	AgCD1|VereadorCD	3.0	Maquinas 3	normal	1	5	785.0	600.0	1635.0	600.0	1360.0	600.0	280.0	405.0	280.0	555.0	0.0	0.0	1000.0	1000.0	89.24							"nojo
"
43	venda	EmpSem|FiscalAT	AgCD1|VereadorCD	4.0	Soja	normal	1	5	765.0	600.0	1635.0	600.0	1360.0	600.0	280.0	405.0	280.0	585.0	0.0	0.0	1000.0	1000.0	89.57							"alegria
"
44	venda	EmpFert	AgCD1|VereadorCD	4.0	Super premium	normal	1	5	845.0	600.0	1635.0	600.0	1360.0	600.0	280.0	435.0	280.0	585.0	0.0	0.0	1000.0	1000.0	92.28							"alegria
"
45	venda	EmpMaq|PrefeitoAT	AgCD1|VereadorCD	4.0	Maquinas 2	baixo	1	5	950.0	600.0	1635.0	600.0	1360.0	600.0	280.0	435.0	305.0	585.0	0.0	0.0	1000.0	1000.0	94.99000000000001							"nojo
"
