	acao	pessoa1	pessoa2	parcela	objeto	tipo_preco	rodada	jogo	saldo_CD1	saldo_CD2	saldo_CD3	saldo_AT1	saldo_AT2	saldo_AT3	saldo_EmpAgr	saldo_EmpFer	saldo_EmpMaq	saldo_EmpSem	saldo_FiscalAT	saldo_FiscalCD	saldo_PrefeitoAT	saldo_PrefeitoCD	poluicao_mundial	selo	prox_taxa	val_taxa	tratamento
845	venda	EmpSem	AT1	1.0	Soja	baixo	1	2	600.0	600.0	600.0	585.0	600.0	600.0	100.0	100.0	100.0	125.0	0.0	0.0	1000.0	1000.0	20.330000000000002				
846	venda	EmpAgr	AT1	1.0	Super premium	baixo	1	2	600.0	600.0	600.0	670.0	600.0	600.0	125.0	100.0	100.0	125.0	0.0	0.0	1000.0	1000.0	23.04				
847	venda	EmpSem	AT1	2.0	Soja	baixo	1	2	600.0	600.0	600.0	655.0	600.0	600.0	125.0	100.0	100.0	150.0	0.0	0.0	1000.0	1000.0	23.369999999999997				
848	venda	EmpAgr	AT1	2.0	Super premium	baixo	1	2	600.0	600.0	600.0	740.0	600.0	600.0	150.0	100.0	100.0	150.0	0.0	0.0	1000.0	1000.0	26.08				
849	venda	EmpSem	AT1	3.0	Soja	baixo	1	2	600.0	600.0	600.0	725.0	600.0	600.0	150.0	100.0	100.0	175.0	0.0	0.0	1000.0	1000.0	26.41				
850	venda	EmpAgr	AT1	3.0	Super premium	baixo	1	2	600.0	600.0	600.0	810.0	600.0	600.0	175.0	100.0	100.0	175.0	0.0	0.0	1000.0	1000.0	29.12				
851	venda	EmpSem	AT1	4.0	Soja	baixo	1	2	600.0	600.0	600.0	795.0	600.0	600.0	175.0	100.0	100.0	200.0	0.0	0.0	1000.0	1000.0	29.450000000000003				
852	venda	EmpAgr	AT1	4.0	Super premium	baixo	1	2	600.0	600.0	600.0	880.0	600.0	600.0	200.0	100.0	100.0	200.0	0.0	0.0	1000.0	1000.0	32.160000000000004				
853	venda	EmpSem	AT1	5.0	Soja	baixo	1	2	600.0	600.0	600.0	865.0	600.0	600.0	200.0	100.0	100.0	225.0	0.0	0.0	1000.0	1000.0	32.49000000000001				
854	venda	EmpAgr	AT1	5.0	Super premium	baixo	1	2	600.0	600.0	600.0	950.0	600.0	600.0	225.0	100.0	100.0	225.0	0.0	0.0	1000.0	1000.0	35.20000000000001				
855	venda	EmpSem	AT1	6.0	Soja	baixo	1	2	600.0	600.0	600.0	935.0	600.0	600.0	225.0	100.0	100.0	250.0	0.0	0.0	1000.0	1000.0	35.53000000000001				
856	venda	EmpAgr	AT1	6.0	Super premium	baixo	1	2	600.0	600.0	600.0	1020.0	600.0	600.0	250.0	100.0	100.0	250.0	0.0	0.0	1000.0	1000.0	38.24000000000001				
857	venda	EmpSem	CD2	1.0	Soja	baixo	1	2	600.0	585.0	600.0	1020.0	600.0	600.0	250.0	100.0	100.0	275.0	0.0	0.0	1000.0	1000.0	38.57000000000001				
858	venda	EmpFer	CD2	1.0	Comum	normal	1	2	600.0	595.0	600.0	1020.0	600.0	600.0	250.0	110.0	100.0	275.0	0.0	0.0	1000.0	1000.0	38.66000000000001				
