	acao	pessoa1	pessoa2	parcela	objeto	tipo_preco	rodada	jogo	saldo_AgCD1	saldo_AgCD2	saldo_AgCD3	saldo_AgAT1	saldo_AgAT2	saldo_AgAT3	saldo_EmpAgro	saldo_EmpFert	saldo_EmpMaq	saldo_EmpSem	saldo_FiscalAT	saldo_FiscalCD	saldo_PrefeitoAT	saldo_PrefeitoCD	poluicao_mundial	selo	prox_taxa	val_taxa	tratamento	etapa_1	etapa_2
0	venda	EmpSem|FiscalAT	AgAT2|VereadorAT	1.0	Soja	normal	1	5	600.0	600.0	600.0	600.0	580.0	600.0	100.0	100.0	100.0	130.0	0.0	0.0	1000.0	1000.0	20.330000000000002						
1	venda	EmpFert	AgAT2|VereadorAT	1.0	Premium	normal	1	5	600.0	600.0	600.0	600.0	630.0	600.0	100.0	120.0	100.0	130.0	0.0	0.0	1000.0	1000.0	21.85						
2	venda	EmpAgro	AgAT2|VereadorAT	1.0	Super premium	normal	1	5	600.0	600.0	600.0	600.0	730.0	600.0	130.0	120.0	100.0	130.0	0.0	0.0	1000.0	1000.0	24.560000000000002						
3	venda	EmpSem|FiscalAT	AgAT2|VereadorAT	2.0	Soja	normal	1	5	600.0	600.0	600.0	600.0	710.0	600.0	130.0	120.0	100.0	160.0	0.0	0.0	1000.0	1000.0	24.89						
4	venda	EmpFert	AgAT2|VereadorAT	2.0	Premium	normal	1	5	600.0	600.0	600.0	600.0	760.0	600.0	130.0	140.0	100.0	160.0	0.0	0.0	1000.0	1000.0	26.41						
5	venda	EmpAgro	AgAT2|VereadorAT	2.0	Super premium	normal	1	5	600.0	600.0	600.0	600.0	860.0	600.0	160.0	140.0	100.0	160.0	0.0	0.0	1000.0	1000.0	29.12						
6	venda	EmpSem|FiscalAT	AgAT2|VereadorAT	3.0	Soja	normal	1	5	600.0	600.0	600.0	600.0	840.0	600.0	160.0	140.0	100.0	190.0	0.0	0.0	1000.0	1000.0	29.450000000000003						
7	venda	EmpFert	AgAT2|VereadorAT	3.0	Premium	normal	1	5	600.0	600.0	600.0	600.0	890.0	600.0	160.0	160.0	100.0	190.0	0.0	0.0	1000.0	1000.0	30.970000000000002						
8	venda	EmpAgro	AgAT2|VereadorAT	3.0	Super premium	normal	1	5	600.0	600.0	600.0	600.0	990.0	600.0	190.0	160.0	100.0	190.0	0.0	0.0	1000.0	1000.0	33.68000000000001						
9	venda	EmpSem|FiscalAT	AgAT2|VereadorAT	4.0	Soja	normal	1	5	600.0	600.0	600.0	600.0	970.0	600.0	190.0	160.0	100.0	220.0	0.0	0.0	1000.0	1000.0	34.010000000000005						
10	venda	EmpFert	AgAT2|VereadorAT	4.0	Premium	normal	1	5	600.0	600.0	600.0	600.0	1020.0	600.0	190.0	180.0	100.0	220.0	0.0	0.0	1000.0	1000.0	35.53000000000001						
11	venda	EmpAgro	AgAT2|VereadorAT	4.0	Super premium	normal	1	5	600.0	600.0	600.0	600.0	1120.0	600.0	220.0	180.0	100.0	220.0	0.0	0.0	1000.0	1000.0	38.24000000000001						
12	venda	EmpSem|FiscalAT|FiscalAT	AgAT2|VereadorAT	5.0	Soja	normal	1	5	600.0	600.0	600.0	600.0	1100.0	600.0	220.0	180.0	100.0	250.0	0.0	0.0	1000.0	1000.0	38.57000000000001						
13	venda	EmpFert	AgAT2|VereadorAT	5.0	Premium	normal	1	5	600.0	600.0	600.0	600.0	1150.0	600.0	220.0	200.0	100.0	250.0	0.0	0.0	1000.0	1000.0	40.09000000000001						
14	venda	EmpAgro	AgAT2|VereadorAT	5.0	Super premium	normal	1	5	600.0	600.0	600.0	600.0	1250.0	600.0	250.0	200.0	100.0	250.0	0.0	0.0	1000.0	1000.0	42.80000000000001						
