acao	pessoa1	pessoa2	valor	rodada	jogo
imposto	prefeito EmpMaq	EmpSem	220.5	1	4
imposto	prefeito CD1	EmpFer	673.5	1	4
imposto	prefeito EmpMaq	EmpMaq	549.0	1	4
imposto	prefeito CD1	EmpAgr	3.0	1	4
imposto	prefeito EmpMaq	AT1	720.0	1	4
imposto	prefeito CD1	CD1	540.0	1	4
imposto	prefeito EmpMaq	AT2	243.0	1	4
imposto	prefeito CD1	CD2	324.0	1	4
imposto	prefeito EmpMaq	AT3	162.0	1	4
imposto	prefeito CD1	CD3	324.0	1	4
imposto	prefeito EmpMaq	EmpSem	250.5	2	4
imposto	prefeito CD1	EmpFer	682.5	2	4
imposto	prefeito EmpMaq	EmpMaq	733.5	2	4
imposto	prefeito CD1	EmpAgr	6.0	2	4
imposto	prefeito EmpMaq	AT1	720.0	2	4
imposto	prefeito CD1	CD1	315.0	2	4
imposto	prefeito EmpMaq	AT2	756.0	2	4
imposto	prefeito CD1	CD2	125.99999999999999	2	4
imposto	prefeito EmpMaq	AT3	108.0	2	4
imposto	prefeito CD1	CD3	378.0	2	4
imposto	prefeito EmpSem	EmpSem	320.25	3	4
imposto	prefeito CD1	EmpFer	666.75	3	4
imposto	prefeito EmpSem	EmpMaq	428.75	3	4
imposto	prefeito CD1	EmpAgr	125.99999999999999	3	4
imposto	prefeito EmpSem	AT1	944.9999999999999	3	4
imposto	prefeito CD1	CD1	276.5	3	4
imposto	prefeito EmpSem	AT2	1575.0	3	4
imposto	prefeito CD1	CD2	125.99999999999999	3	4
imposto	prefeito EmpSem	AT3	283.5	3	4
imposto	prefeito CD1	CD3	157.5	3	4
imposto	prefeito EmpSem	EmpSem	183.75	4	4
imposto	prefeito CD1	EmpFer	897.7499999999999	4	4
imposto	prefeito EmpSem	EmpMaq	292.5	4	4
imposto	prefeito CD1	EmpAgr	120.74999999999999	4	4
imposto	prefeito EmpSem	AT1	900.0	4	4
imposto	prefeito CD1	CD1	262.5	4	4
imposto	prefeito EmpSem	AT2	37.5	4	4
imposto	prefeito CD1	CD2	251.99999999999997	4	4
imposto	prefeito EmpSem	AT3	600.0	4	4
imposto	prefeito CD1	CD3	157.5	4	4
imposto	prefeito AT1	EmpSem	190.5	1	3
imposto	prefeito CD2	EmpFer	390.0	1	3
imposto	prefeito AT1	EmpMaq	1017.0	1	3
imposto	prefeito CD2	EmpAgr	79.5	1	3
imposto	prefeito AT1	AT1	156.0	1	3
imposto	prefeito CD2	CD1	720.0	1	3
imposto	prefeito AT1	AT2	270.0	1	3
imposto	prefeito CD2	CD2	648.0	1	3
imposto	prefeito AT1	AT3	216.0	1	3
imposto	prefeito CD2	CD3	540.0	1	3
imposto	prefeito AT1	EmpSem	166.5	2	3
imposto	prefeito CD2	EmpFer	427.5	2	3
imposto	prefeito AT1	EmpMaq	306.0	2	3
imposto	prefeito CD2	EmpAgr	41.25	2	3
imposto	prefeito AT1	AT1	108.0	2	3
imposto	prefeito CD2	CD1	300.0	2	3
imposto	prefeito AT1	AT2	49.5	2	3
imposto	prefeito CD2	CD2	500.0	2	3
imposto	prefeito AT1	AT3	243.0	2	3
imposto	prefeito CD2	CD3	18.75	2	3
imposto	prefeito AT1	EmpSem	244.99999999999997	3	3
imposto	prefeito CD2	EmpFer	397.5	3	3
imposto	prefeito AT1	EmpMaq	288.75	3	3
imposto	prefeito CD2	EmpAgr	3.75	3	3
imposto	prefeito AT1	AT1	49.0	3	3
imposto	prefeito CD2	CD1	300.0	3	3
imposto	prefeito AT1	AT2	4.583333333333333	3	3
imposto	prefeito CD2	CD2	135.0	3	3
imposto	prefeito AT1	AT3	5.0	3	3
imposto	prefeito CD2	CD3	18.75	3	3
imposto	prefeito AT1	EmpSem	221.25	4	3
imposto	prefeito CD2	EmpFer	435.0	4	3
imposto	prefeito AT1	EmpMaq	368.75	4	3
imposto	prefeito CD2	EmpAgr	93.75	4	3
imposto	prefeito AT1	AT1	150.0	4	3
imposto	prefeito CD2	CD1	315.0	4	3
imposto	prefeito AT1	AT2	123.75	4	3
imposto	prefeito CD2	CD2	300.0	4	3
imposto	prefeito AT1	AT3	1800.0	4	3
imposto	prefeito CD2	CD3	300.0	4	3
imposto	prefeito AT1	EmpSem	325.5	5	3
imposto	prefeito CD2	EmpFer	536.25	5	3
imposto	prefeito AT1	EmpMaq	299.25	5	3
imposto	prefeito CD2	EmpAgr	110.0	5	3
imposto	prefeito AT1	AT1	287.0	5	3
imposto	prefeito CD2	CD1	60.0	5	3
imposto	prefeito AT1	AT2	587.125	5	3
imposto	prefeito CD2	CD2	900.0	5	3
imposto	prefeito AT1	AT3	944.9999999999999	5	3
imposto	prefeito CD2	CD3	300.0	5	3
imposto	prefeito AT2	EmpSem	187.5	1	2
imposto	prefeito EmpAgr	EmpFer	244.5	1	2
imposto	prefeito AT2	EmpMaq	147.0	1	2
imposto	prefeito EmpAgr	EmpAgr	64.5	1	2
imposto	prefeito AT2	AT1	540.0	1	2
imposto	prefeito EmpAgr	CD1	432.0	1	2
imposto	prefeito AT2	AT2	6.0	1	2
imposto	prefeito EmpAgr	CD2	54.0	1	2
imposto	prefeito AT2	AT3	297.0	1	2
imposto	prefeito EmpAgr	CD3	48.0	1	2
imposto	prefeito AT2	EmpSem	162.75	2	2
imposto	prefeito EmpAgr	EmpFer	282.0	2	2
imposto	prefeito AT2	EmpMaq	430.5	2	2
imposto	prefeito EmpAgr	EmpAgr	9.5	2	2
imposto	prefeito AT2	AT1	315.0	2	2
imposto	prefeito EmpAgr	CD1	536.25	2	2
imposto	prefeito AT2	AT2	5.0	2	2
imposto	prefeito EmpAgr	CD2	11.0	2	2
imposto	prefeito AT2	AT3	489.99999999999994	2	2
imposto	prefeito EmpAgr	CD3	180.0	2	2
imposto	prefeito AT1	EmpSem	203.0	3	2
imposto	prefeito EmpAgr	EmpFer	288.0	3	2
imposto	prefeito AT1	EmpMaq	360.5	3	2
imposto	prefeito EmpAgr	EmpAgr	10.0	3	2
imposto	prefeito AT1	AT1	125.99999999999999	3	2
imposto	prefeito EmpAgr	CD1	577.5	3	2
imposto	prefeito AT1	AT2	332.5	3	2
imposto	prefeito EmpAgr	CD2	3.0	3	2
imposto	prefeito AT1	AT3	308.0	3	2
imposto	prefeito EmpAgr	CD3	3.0	3	2
