acao	cidade	personagem	tipo_taxa	valor	rodada	jogo
taxa	Atlantis	prefeito EmpMaq 	1	10	1	4
taxa	Atlantis	prefeito EmpMaq 	2	10%	1	4
taxa	Atlantis	prefeito EmpMaq 	3	30%	1	4
taxa	Cidadela	prefeito CD1	1	10	1	4
taxa	Cidadela	prefeito CD1	2	10%	1	4
taxa	Cidadela	prefeito CD1	3	30%	1	4
taxa	Atlantis	prefeito EmpMaq 	1	15	2	4
taxa	Atlantis	prefeito EmpMaq 	2	10%	2	4
taxa	Atlantis	prefeito EmpMaq 	3	30%	2	4
taxa	Cidadela	prefeito CD1	1	5	2	4
taxa	Cidadela	prefeito CD1	2	10%	2	4
taxa	Cidadela	prefeito CD1	3	35%	2	4
taxa	Atlantis	prefeito EmpMaq 	1	15	3	4
taxa	Atlantis	prefeito EmpMaq 	2	15%	3	4
taxa	Atlantis	prefeito EmpMaq 	3	35%	3	4
taxa	Cidadela	prefeito EmpSem	1	5	3	4
taxa	Cidadela	prefeito EmpSem	2	10%	3	4
taxa	Cidadela	prefeito EmpSem	3	35%	3	4
taxa	Atlantis	prefeito EmpMaq 	1	15	4	4
taxa	Atlantis	prefeito EmpMaq 	2	15%	4	4
taxa	Atlantis	prefeito EmpMaq 	3	35%	4	4
taxa	Cidadela	prefeito EmpSem	1	5	4	4
taxa	Cidadela	prefeito EmpSem	2	10%	4	4
taxa	Cidadela	prefeito EmpSem	3	25%	4	4
taxa	Atlantis	prefeito AT1	1	10	1	3
taxa	Atlantis	prefeito AT1	2	10%	1	3
taxa	Atlantis	prefeito AT1	3	30%	1	3
taxa	Cidadela	prefeito CD2	1	10	1	3
taxa	Cidadela	prefeito CD2	2	10%	1	3
taxa	Cidadela	prefeito CD2	3	30%	1	3
taxa	Atlantis	prefeito AT1	1	10	2	3
taxa	Atlantis	prefeito AT1	2	10%	2	3
taxa	Atlantis	prefeito AT1	3	30%	2	3
taxa	Cidadela	prefeito CD2	1	15	2	3
taxa	Cidadela	prefeito CD2	2	10%	2	3
taxa	Cidadela	prefeito CD2	3	25%	2	3
taxa	Atlantis	prefeito AT1	1	5	3	3
taxa	Atlantis	prefeito AT1	2	10%	3	3
taxa	Atlantis	prefeito AT1	3	35%	3	3
taxa	Cidadela	prefeito CD2	1	5	3	3
taxa	Cidadela	prefeito CD2	2	15%	3	3
taxa	Cidadela	prefeito CD2	3	25%	3	3
taxa	Atlantis	prefeito AT1	1	5	4	3
taxa	Atlantis	prefeito AT1	2	5%	4	3
taxa	Atlantis	prefeito AT1	3	25%	4	3
taxa	Cidadela	prefeito CD2	1	15	4	3
taxa	Cidadela	prefeito CD2	2	5%	4	3
taxa	Cidadela	prefeito CD2	3	25%	4	3
taxa	Atlantis	prefeito AT1	1	5	5	3
taxa	Atlantis	prefeito AT1	2	5%	5	3
taxa	Atlantis	prefeito AT1	3	35%	5	3
taxa	Cidadela	prefeito CD2	1	15	5	3
taxa	Cidadela	prefeito CD2	2	15%	5	3
taxa	Cidadela	prefeito CD2	3	25%	5	3
taxa	Atlantis	prefeito AT2	1	10	1	2
taxa	Atlantis	prefeito AT2	2	10%	1	2
taxa	Atlantis	prefeito AT2	3	30%	1	2
taxa	Cidadela	prefeito EmpAgr	1	10	1	2
taxa	Cidadela	prefeito EmpAgr	2	10%	1	2
taxa	Cidadela	prefeito EmpAgr	3	30%	1	2
taxa	Atlantis	prefeito AT2	1	5	2	2
taxa	Atlantis	prefeito AT2	2	10%	2	2
taxa	Atlantis	prefeito AT2	3	35%	2	2
taxa	Cidadela	prefeito EmpAgr	1	10	2	2
taxa	Cidadela	prefeito EmpAgr	2	10%	2	2
taxa	Cidadela	prefeito EmpAgr	3	35%	2	2
taxa	Atlantis	prefeito AT2	1	5	2	2
taxa	Atlantis	prefeito AT2	2	10%	2	2
taxa	Atlantis	prefeito AT2	3	35%	2	2
taxa	Cidadela	prefeito EmpAgr	1	10	2	2
taxa	Cidadela	prefeito EmpAgr	2	10%	2	2
taxa	Cidadela	prefeito EmpAgr	3	35%	2	2
taxa	Atlantis	prefeito AT2	1	5	3	2
taxa	Atlantis	prefeito AT2	2	10%	3	2
taxa	Atlantis	prefeito AT2	3	35%	3	2
taxa	Cidadela	prefeito EmpAgr	1	10	3	2
taxa	Cidadela	prefeito EmpAgr	2	10%	3	2
taxa	Cidadela	prefeito EmpAgr	3	35%	3	2
